target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
1.000000,1.000000,1.000000,0.558871,0.787209,0.978682,0.500000,0.500000,0.750948
0.575000,0.750000,0.400000,0.703851,0.557360,0.928934,0.000000,0.000000,0.789778
0.525000,0.400000,0.650000,0.800510,0.556147,0.926911,0.000000,0.000000,0.842560
0.525000,0.400000,0.650000,0.767408,0.580723,0.967871,0.000000,0.000000,0.818870
0.575000,0.750000,0.400000,0.630693,0.554676,0.924460,0.000000,0.000000,0.830516
0.525000,0.400000,0.650000,0.800758,0.519101,0.865168,0.000000,0.000000,0.827246
0.550000,1.000000,0.100000,0.691313,0.563362,0.938936,0.000000,0.000000,0.792623
0.525000,0.400000,0.650000,0.760320,0.567575,0.945958,0.000000,0.000000,0.772207
0.525000,0.400000,0.650000,0.742452,0.583602,0.972670,0.000000,0.000000,0.773681
0.525000,0.400000,0.650000,0.775470,0.536434,0.894057,0.000000,0.000000,0.817307
0.525000,0.400000,0.650000,0.731735,0.571687,0.952811,0.000000,0.000000,0.818748
0.525000,0.400000,0.650000,0.736607,0.577865,0.963109,0.000000,0.000000,0.753302
0.550000,1.000000,0.100000,0.679993,0.547286,0.912144,0.000000,0.000000,0.802938
0.525000,0.400000,0.650000,0.715794,0.580055,0.966758,0.000000,0.000000,0.771847
0.525000,0.400000,0.650000,0.749761,0.549052,0.915086,0.000000,0.000000,0.747164
0.575000,0.750000,0.400000,0.658104,0.482279,0.803798,0.000000,0.000000,0.823307
0.525000,0.400000,0.650000,0.733114,0.547286,0.912144,0.000000,0.000000,0.811791
0.525000,0.400000,0.650000,0.688530,0.578097,0.963495,0.000000,0.000000,0.807854
0.525000,0.400000,0.650000,0.694547,0.583360,0.972267,0.000000,0.000000,0.755825
0.525000,0.400000,0.650000,0.656130,0.586957,0.978261,0.000000,0.000000,0.840454
0.525000,0.400000,0.650000,0.710196,0.537500,0.895834,0.000000,0.000000,0.730825
0.525000,0.400000,0.650000,0.647325,0.586099,0.976831,0.000000,0.000000,0.738912
0.425000,0.750000,0.100000,0.910451,0.560162,0.933604,0.000000,0.000000,0.854728
0.525000,0.400000,0.650000,0.662412,0.538372,0.897287,0.000000,0.000000,0.795734
0.575000,0.750000,0.400000,0.506754,0.550000,0.916666,0.000000,0.000000,0.816894
0.525000,0.400000,0.650000,0.620485,0.575831,0.959718,0.000000,0.000000,0.800622
0.550000,1.000000,0.100000,0.578618,0.548196,0.913660,0.000000,0.000000,0.789563
0.525000,0.400000,0.650000,0.645659,0.539083,0.898471,0.000000,0.000000,0.828679
0.525000,0.400000,0.650000,0.658974,0.553588,0.922646,0.000000,0.000000,0.716953
0.525000,0.400000,0.650000,0.654370,0.530769,0.884615,0.000000,0.000000,0.806089
0.525000,0.400000,0.650000,0.615417,0.582258,0.970430,0.000000,0.000000,0.745599
0.525000,0.400000,0.650000,0.650983,0.538372,0.897287,0.000000,0.000000,0.777489
0.525000,0.400000,0.650000,0.596016,0.578646,0.964410,0.000000,0.000000,0.831068
0.575000,0.750000,0.400000,0.566419,0.474194,0.790323,0.000000,0.000000,0.805781
0.525000,0.400000,0.650000,0.597864,0.573437,0.955729,0.000000,0.000000,0.829929
0.575000,0.750000,0.400000,0.451909,0.585484,0.975806,0.000000,0.000000,0.812544
0.525000,0.400000,0.650000,0.655128,0.539773,0.899621,0.000000,0.000000,0.722279
0.525000,0.400000,0.650000,0.576792,0.584932,0.974886,0.000000,0.000000,0.851342
0.525000,0.400000,0.650000,0.588023,0.583735,0.972891,0.000000,0.000000,0.798143
0.525000,0.400000,0.650000,0.593538,0.574934,0.958224,0.000000,0.000000,0.787875
0.525000,0.400000,0.650000,0.668439,0.513461,0.855769,0.000000,0.000000,0.725522
0.525000,0.400000,0.650000,0.672626,0.515872,0.859787,0.000000,0.000000,0.690288
0.550000,1.000000,0.100000,0.602200,0.485265,0.808775,0.000000,0.000000,0.804689
0.525000,0.400000,0.650000,0.582799,0.581250,0.968750,0.000000,0.000000,0.735144
0.525000,0.400000,0.650000,0.572817,0.575000,0.958333,0.000000,0.000000,0.792446
0.525000,0.400000,0.650000,0.609872,0.527143,0.878572,0.000000,0.000000,0.830999
0.525000,0.400000,0.650000,0.654988,0.515872,0.859787,0.000000,0.000000,0.687348
0.550000,1.000000,0.100000,0.547353,0.547675,0.912791,0.000000,0.000000,0.712802
0.525000,0.400000,0.650000,0.616534,0.522306,0.870510,0.000000,0.000000,0.798903
0.525000,0.400000,0.650000,0.574392,0.557143,0.928571,0.000000,0.000000,0.805151
0.525000,0.400000,0.650000,0.550587,0.576041,0.960069,0.000000,0.000000,0.822773
0.525000,0.400000,0.650000,0.620390,0.513324,0.855540,0.000000,0.000000,0.793782
0.525000,0.400000,0.650000,0.587491,0.546787,0.911311,0.000000,0.000000,0.777578
0.525000,0.400000,0.650000,0.542854,0.574658,0.957763,0.000000,0.000000,0.842832
0.525000,0.400000,0.650000,0.633478,0.495860,0.826433,0.000000,0.000000,0.791113
0.550000,1.000000,0.100000,0.500195,0.550862,0.918104,0.000000,0.000000,0.822576
0.525000,0.400000,0.650000,0.576148,0.552202,0.920337,0.000000,0.000000,0.786996
0.525000,0.400000,0.650000,0.574926,0.557555,0.929258,0.000000,0.000000,0.770142
0.525000,0.400000,0.650000,0.561025,0.553646,0.922743,0.000000,0.000000,0.826625
0.525000,0.400000,0.650000,0.576765,0.559666,0.932777,0.000000,0.000000,0.739417
0.525000,0.400000,0.650000,0.551367,0.559438,0.932397,0.000000,0.000000,0.818618
0.575000,0.750000,0.400000,0.512514,0.464516,0.774194,0.000000,0.000000,0.794108
0.525000,0.400000,0.650000,0.558352,0.558568,0.930946,0.000000,0.000000,0.784001
0.525000,0.400000,0.650000,0.593690,0.534375,0.890625,0.000000,0.000000,0.736765
0.525000,0.400000,0.650000,0.588406,0.531958,0.886597,0.000000,0.000000,0.763889
0.525000,0.400000,0.650000,0.580893,0.538372,0.897287,0.000000,0.000000,0.765808
0.525000,0.400000,0.650000,0.556879,0.568337,0.947228,0.000000,0.000000,0.738511
0.525000,0.400000,0.650000,0.564400,0.566827,0.944712,0.000000,0.000000,0.708463
0.525000,0.400000,0.650000,0.532506,0.570833,0.951389,0.000000,0.000000,0.818313
0.525000,0.400000,0.650000,0.593456,0.536364,0.893940,0.000000,0.000000,0.711053
