metric,scope,manuscript_or_frozen,reproduced,status
G_pre1 candidate count,full827,827,827,MATCH
Q9T0Z9 G_pre1 rank,full827,1,1,MATCH
Q9T0Z9 G_pre1 score,full827,0.856763,0.856763,MATCH
G_pro1 scores and ranks,top50,archived v5.4.9g,50/50,MATCH
without_target_context.target_rank,full827,NOT_PROVIDED,8,AUTHOR_COMPARISON_PENDING
without_target_context.top5_overlap,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_target_context.top10_overlap,full827,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_target_context.spearman_rho,full827,NOT_PROVIDED,0.468169690872,AUTHOR_COMPARISON_PENDING
without_target_context.kendall_tau,full827,NOT_PROVIDED,0.460303146529,AUTHOR_COMPARISON_PENDING
only_target_context.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_target_context.top5_overlap,full827,NOT_PROVIDED,2,AUTHOR_COMPARISON_PENDING
only_target_context.top10_overlap,full827,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
only_target_context.spearman_rho,full827,NOT_PROVIDED,0.738552635783,AUTHOR_COMPARISON_PENDING
only_target_context.kendall_tau,full827,NOT_PROVIDED,0.525728222140,AUTHOR_COMPARISON_PENDING
without_docking_support.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_docking_support.top5_overlap,full827,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
without_docking_support.top10_overlap,full827,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_docking_support.spearman_rho,full827,NOT_PROVIDED,0.847690155467,AUTHOR_COMPARISON_PENDING
without_docking_support.kendall_tau,full827,NOT_PROVIDED,0.658762527412,AUTHOR_COMPARISON_PENDING
only_docking_support.target_rank,full827,NOT_PROVIDED,250,AUTHOR_COMPARISON_PENDING
only_docking_support.top5_overlap,full827,NOT_PROVIDED,0,AUTHOR_COMPARISON_PENDING
only_docking_support.top10_overlap,full827,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
only_docking_support.spearman_rho,full827,NOT_PROVIDED,0.410065290820,AUTHOR_COMPARISON_PENDING
only_docking_support.kendall_tau,full827,NOT_PROVIDED,0.349145515604,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.top5_overlap,full827,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.top10_overlap,full827,NOT_PROVIDED,9,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.spearman_rho,full827,NOT_PROVIDED,0.985589437510,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.kendall_tau,full827,NOT_PROVIDED,0.906221911223,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.top5_overlap,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.top10_overlap,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.spearman_rho,full827,NOT_PROVIDED,0.296364423519,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.kendall_tau,full827,NOT_PROVIDED,0.204124713440,AUTHOR_COMPARISON_PENDING
without_E7_residual.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_E7_residual.top5_overlap,full827,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_E7_residual.top10_overlap,full827,NOT_PROVIDED,9,AUTHOR_COMPARISON_PENDING
without_E7_residual.spearman_rho,full827,NOT_PROVIDED,0.999309798155,AUTHOR_COMPARISON_PENDING
without_E7_residual.kendall_tau,full827,NOT_PROVIDED,0.980524138416,AUTHOR_COMPARISON_PENDING
only_E7_residual.target_rank,full827,NOT_PROVIDED,679,AUTHOR_COMPARISON_PENDING
only_E7_residual.top5_overlap,full827,NOT_PROVIDED,0,AUTHOR_COMPARISON_PENDING
only_E7_residual.top10_overlap,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_E7_residual.spearman_rho,full827,NOT_PROVIDED,0.092040554641,AUTHOR_COMPARISON_PENDING
only_E7_residual.kendall_tau,full827,NOT_PROVIDED,0.074621359621,AUTHOR_COMPARISON_PENDING
identifier_masked.target_rank,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
identifier_masked.top5_overlap,full827,NOT_PROVIDED,5,AUTHOR_COMPARISON_PENDING
identifier_masked.top10_overlap,full827,NOT_PROVIDED,10,AUTHOR_COMPARISON_PENDING
identifier_masked.spearman_rho,full827,NOT_PROVIDED,1.000000000000,AUTHOR_COMPARISON_PENDING
identifier_masked.kendall_tau,full827,NOT_PROVIDED,1.000000000000,AUTHOR_COMPARISON_PENDING
strict_context_blind.target_rank,full827,NOT_PROVIDED,8,AUTHOR_COMPARISON_PENDING
strict_context_blind.top5_overlap,full827,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
strict_context_blind.top10_overlap,full827,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
strict_context_blind.spearman_rho,full827,NOT_PROVIDED,0.468169690872,AUTHOR_COMPARISON_PENDING
strict_context_blind.kendall_tau,full827,NOT_PROVIDED,0.460303146529,AUTHOR_COMPARISON_PENDING
target_top1_frequency,full827,NOT_PROVIDED,1.0,AUTHOR_COMPARISON_PENDING
target_top5_frequency,full827,NOT_PROVIDED,1.0,AUTHOR_COMPARISON_PENDING
score_gap_mean,full827,NOT_PROVIDED,0.24821177188418686,AUTHOR_COMPARISON_PENDING
score_gap_quantiles_025_975,full827,NOT_PROVIDED,"[0.21789927674223036, 0.274700172417]",AUTHOR_COMPARISON_PENDING
without_target_context.target_rank,top50,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_target_context.top5_overlap,top50,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
without_target_context.top10_overlap,top50,NOT_PROVIDED,7,AUTHOR_COMPARISON_PENDING
without_target_context.spearman_rho,top50,NOT_PROVIDED,0.829435774310,AUTHOR_COMPARISON_PENDING
without_target_context.kendall_tau,top50,NOT_PROVIDED,0.715918367347,AUTHOR_COMPARISON_PENDING
only_target_context.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_target_context.top5_overlap,top50,NOT_PROVIDED,2,AUTHOR_COMPARISON_PENDING
only_target_context.top10_overlap,top50,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
only_target_context.spearman_rho,top50,NOT_PROVIDED,-0.033853541417,AUTHOR_COMPARISON_PENDING
only_target_context.kendall_tau,top50,NOT_PROVIDED,-0.022040816327,AUTHOR_COMPARISON_PENDING
without_docking_support.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_docking_support.top5_overlap,top50,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
without_docking_support.top10_overlap,top50,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_docking_support.spearman_rho,top50,NOT_PROVIDED,0.323889555822,AUTHOR_COMPARISON_PENDING
without_docking_support.kendall_tau,top50,NOT_PROVIDED,0.232653061224,AUTHOR_COMPARISON_PENDING
only_docking_support.target_rank,top50,NOT_PROVIDED,47,AUTHOR_COMPARISON_PENDING
only_docking_support.top5_overlap,top50,NOT_PROVIDED,2,AUTHOR_COMPARISON_PENDING
