analysis,scope,candidates,target_rank,top5_overlap,top10_overlap,spearman_rho,kendall_tau
full,full827,827,1,5,10,1.000000000000,1.000000000000
without_target_context,full827,827,8,1,4,0.468169690872,0.460303146529
only_target_context,full827,827,1,2,3,0.738552635783,0.525728222140
without_docking_support,full827,827,1,3,4,0.847690155467,0.658762527412
only_docking_support,full827,827,250,0,3,0.410065290820,0.349145515604
without_solubility_no_chaperone,full827,827,1,3,9,0.985589437510,0.906221911223
only_solubility_no_chaperone,full827,827,1,1,1,0.296364423519,0.204124713440
without_E7_residual,full827,827,1,4,9,0.999309798155,0.980524138416
only_E7_residual,full827,827,679,0,1,0.092040554641,0.074621359621
identifier_masked,full827,827,1,5,10,1.000000000000,1.000000000000
strict_context_blind,full827,827,8,1,4,0.468169690872,0.460303146529
