accession,frozen_rank,top1_frequency,top5_frequency,top10_frequency,top50_frequency
A0A3B8DLH1,51,0.000000,0.000000,0.000000,0.405800
A0A449C3U4,52,0.000000,0.000000,0.000000,0.407400
A0AAX4Q199,53,0.000000,0.000000,0.000000,0.000000
A0A6M3GA37,54,0.000000,0.000000,0.000000,0.152900
A0A1V0DXR7,55,0.000000,0.000000,0.000000,0.141500
A0A0G2PMU8,56,0.000000,0.000000,0.000000,0.233600
A0AAE9JYJ2,57,0.000000,0.000000,0.000000,0.000000
I7J474,58,0.000000,0.000000,0.000000,0.000200
I7KR83,59,0.000000,0.000000,0.000000,0.000000
A0ZXG5,60,0.000000,0.000000,0.000000,0.000000
A0A449C435,61,0.000000,0.000000,0.000000,0.000000
A0A7U4K0B3,62,0.000000,0.000000,0.000000,0.138800
A0AAE9FRM6,63,0.000000,0.000000,0.000000,0.000000
A0AAE7PDX0,64,0.000000,0.000000,0.000000,0.000000
A0A2C9CXH4,65,0.000000,0.000000,0.000000,0.000000
A0A7D3UH03,66,0.000000,0.000000,0.000000,0.000000
A0AA51VH76,67,0.000000,0.000000,0.000000,0.000000
A0A2H1UJ87,68,0.000000,0.000000,0.000000,0.000000
A0A449C528,69,0.000000,0.000000,0.000000,0.000000
A0A6M3GA49,70,0.000000,0.000000,0.000000,0.000000
A0A1V0DXD5,71,0.000000,0.000000,0.000000,0.000000
A0A3B8DLJ2,72,0.000000,0.000000,0.000000,0.000000
A0AAE7PDK2,73,0.000000,0.000000,0.000000,0.000000
F4N728,74,0.000000,0.000000,0.000000,0.055400
A0AAE9JVZ5,75,0.000000,0.000000,0.000000,0.000000
A0A449C5C7,76,0.000000,0.000000,0.000000,0.000000
I7LH81,77,0.000000,0.000000,0.000000,0.000000
A0A1V0DXT5,78,0.000000,0.000000,0.000000,0.000000
A0A6M3G969,79,0.000000,0.000000,0.000000,0.000000
A0AAX4Q2X2,80,0.000000,0.000000,0.000000,0.000000
A0A2D0PE70,81,0.000000,0.000000,0.000000,0.000000
A0A0H3NU58,82,0.000000,0.000000,0.000000,0.000000
A0A449C3S4,83,0.000000,0.000000,0.000000,0.000000
S5MRE6,84,0.000000,0.000000,0.000000,0.000000
A0A3B8DL31,85,0.000000,0.000000,0.000000,0.000000
A0AA86IWK5,86,0.000000,0.000000,0.000000,0.000000
I7J3W0,87,0.000000,0.000000,0.000000,0.000000
