accession,frozen_rank,rank,score
Q9T0Z9,1,1,1.000000000000
A0A7U4JZS3,25,2,0.575000000000
F4N2J8,34,3,0.575000000000
A0AAD2UYA7,5,4,0.575000000000
A0A7U4GE98,16,5,0.575000000000
F4N729,36,6,0.575000000000
A0A7U4GHF9,2,7,0.575000000000
A0A0H3NKM1,13,8,0.550000000000
A0A0G2PMU5,7,9,0.550000000000
A0A0H3NZ47,27,10,0.550000000000
A0A0G2PMY8,43,11,0.550000000000
A0A0H3NZ57,48,12,0.550000000000
A0A449C440,33,13,0.525000000000
A0A0B4ZXE3,47,14,0.525000000000
A0A088F649,44,15,0.525000000000
A0AAE9FQ76,40,16,0.525000000000
Q858J8,9,17,0.525000000000
I7K324,42,18,0.525000000000
S5M9F2,45,19,0.525000000000
I6Q9A1,31,20,0.525000000000
A0AAE7S353,22,21,0.525000000000
S5ML14,37,22,0.525000000000
S5MRA5,49,23,0.525000000000
A0A449C5Q6,30,24,0.525000000000
I7K2S1,3,25,0.525000000000
A0A0U2DXE3,14,26,0.525000000000
A0AAE7CTI2,46,27,0.525000000000
I7LHK5,26,28,0.525000000000
A0A1V0DXW2,4,29,0.525000000000
A0AAE7V5N4,10,30,0.525000000000
A0A449C531,21,31,0.525000000000
A0A449C555,39,32,0.525000000000
A0A6M3G9R6,11,33,0.525000000000
I7K3G3,29,34,0.525000000000
A0AAX4Q2K6,20,35,0.525000000000
A0A0P0LE96,12,36,0.525000000000
A0A1V0DXT2,41,37,0.525000000000
A0A7D3UKK9,32,38,0.525000000000
A0AAE9FSZ1,17,39,0.525000000000
A0A0B5A4Q9,50,40,0.525000000000
A0A449C3Z7,28,41,0.525000000000
A0A449C5Z2,35,42,0.525000000000
S5M3B5,15,43,0.525000000000
S5MLA1,6,44,0.525000000000
A0AAT9S6U3,19,45,0.525000000000
I7LHJ5,38,46,0.525000000000
B3VCL5,8,47,0.525000000000
A0AAE9FUR5,18,48,0.525000000000
Q858U5,24,49,0.525000000000
A0A9P1PWH0,23,50,0.425000000000
