accession,frozen_rank,rank,score
A0A9P1PWH0,23,1,0.748575555556
I7K2S1,3,2,0.696576444444
A0A1V0DXW2,4,3,0.690154888889
Q9T0Z9,1,4,0.681696444444
S5MLA1,6,5,0.678520222222
B3VCL5,8,6,0.675976333333
Q858J8,9,7,0.675321888889
A0AAE7V5N4,10,8,0.673880333333
A0A6M3G9R6,11,9,0.670270666667
A0A0P0LE96,12,10,0.667910000000
A0A0U2DXE3,14,11,0.661693666667
S5M3B5,15,12,0.660268444444
A0AAE9FSZ1,17,13,0.659265666667
A0AAE9FUR5,18,14,0.652706888889
A0AAT9S6U3,19,15,0.651939222222
A0A7U4GHF9,2,16,0.648291333333
A0AAX4Q2K6,20,17,0.645866888889
A0A0G2PMU5,7,18,0.645702555556
A0A449C531,21,19,0.635734333333
A0A0H3NKM1,13,20,0.634672666667
A0AAE7S353,22,21,0.630289777778
Q858U5,24,22,0.622096666667
I7LHK5,26,23,0.620654000000
A0AAD2UYA7,5,24,0.619110222222
A0A449C3Z7,28,25,0.618627444444
I7K3G3,29,26,0.618577888889
A0A449C5Q6,30,27,0.616293888889
I6Q9A1,31,28,0.615144333333
A0A7D3UKK9,32,29,0.614989888889
A0A449C440,33,30,0.614412888889
A0A449C5Z2,35,31,0.612792555556
S5ML14,37,32,0.611320333333
I7LHJ5,38,33,0.610915333333
A0A449C555,39,34,0.609463888889
A0AAE9FQ76,40,35,0.606862555556
A0A1V0DXT2,41,36,0.605902444444
I7K324,42,37,0.604920000000
A0A088F649,44,38,0.599037777778
A0A7U4GE98,16,39,0.598315444444
S5M9F2,45,40,0.598190444444
A0AAE7CTI2,46,41,0.597673222222
A0A0B4ZXE3,47,42,0.596754222222
S5MRA5,49,43,0.594918111111
A0A0B5A4Q9,50,44,0.592365666667
A0A0H3NZ47,27,45,0.588535444444
A0A0G2PMY8,43,46,0.572727666667
A0A0H3NZ57,48,47,0.565879333333
A0A7U4JZS3,25,48,0.560434444444
F4N2J8,34,49,0.552025888889
F4N729,36,50,0.551346222222
