accession,frozen_rank,rank,score
A0A9P1PWH0,23,1,0.748575733333
A0A0T9PR46,310,2,0.716078088889
A0A857F0P1,314,3,0.698774066667
I7K2S1,3,4,0.696576266667
A0AB73QMA1,316,5,0.691370866667
A0A1V0DXW2,4,6,0.690154711111
A0A0H5LRI9,318,7,0.683857088889
Q9T0Z9,1,8,0.681696533333
A0AAD2UWV2,103,9,0.679105155556
S5MLA1,6,10,0.678520133333
B3VCL5,8,11,0.675976244444
A0A7T9XU25,111,12,0.675360422222
Q858J8,9,13,0.675321888889
A0AAE7V5N4,10,14,0.673880422222
A0A6M3G9R6,11,15,0.670270488889
A0A0P0LE96,12,16,0.667910177778
A0A0T9Q3J3,322,17,0.667028622222
A0A0T9PX62,323,18,0.666246466667
A0AAW7K9U6,324,19,0.664883177778
A0A0H3B5E1,325,20,0.663602933333
A0A0T9QCI9,326,21,0.662177533333
A0A0U2DXE3,14,22,0.661693577778
A1JNF1,135,23,0.661288066667
S5M3B5,15,24,0.660268266667
A0ABX5QXK4,327,25,0.659496711111
A0AAE9FSZ1,17,26,0.659265844444
A0A0T9RET2,328,27,0.658908044444
A0ABM9Y807,330,28,0.654079222222
A0AAV3BI89,331,29,0.653420844444
A0A7U4GCC7,150,30,0.653229822222
A0AAE9FUR5,18,31,0.652706888889
A0AAT9S6U3,19,32,0.651939311111
A0A7U4GHF9,2,33,0.648291511111
A0ABM9SSL7,332,34,0.647353733333
A0A7U4GG50,160,35,0.646888377778
A0ABM9TCZ7,333,36,0.646877644444
A0A0H3B6N5,334,37,0.646028866667
A0AAX4Q2K6,20,38,0.645866711111
A0A0G2PMU5,7,39,0.645702377778
A0AA36LLT8,335,40,0.645422066667
A0A0T9UVK0,336,41,0.644506022222
A0A0T9KM81,337,42,0.644445355556
A0A7U4GDH6,165,43,0.643167177778
A0ABM9Y805,338,44,0.642504577778
A0AB73PI84,339,45,0.640629555556
A0A0E1NTH1,340,46,0.640231066667
A0ABW9EXB2,341,47,0.639923000000
A0AB72ZKZ2,342,48,0.638713955556
A0A0T9KX64,343,49,0.637038755556
Q66BM0,344,50,0.636156622222
A0AAI8ZUU9,345,51,0.636033844444
F4N708,177,52,0.636019177778
A0A449C531,21,53,0.635734511111
A0ABM6UUX5,346,54,0.635618355556
A0ABP2EH72,347,55,0.635389333333
A0A0H3NKM1,13,56,0.634672844444
A0A0A8VKM3,348,57,0.634544555556
A0AA36LPU1,349,58,0.634370066667
A0A0T9LS41,350,59,0.632929622222
A0A0H3B6E3,351,60,0.632145666667
A0AB72ZMY1,352,61,0.630352444444
A0AAE7S353,22,62,0.630289600000
A0A0T9MH64,353,63,0.629503600000
A0A7U4GDF9,187,64,0.629110488889
A0A2G4U2G2,354,65,0.628651444444
A0ABX5R0C5,355,66,0.628434866667
A0ABM9XWV8,356,67,0.627408711111
A0ABM7AH44,357,68,0.627377466667
A0A380PQB1,358,69,0.626945088889
A0ABY5UJG2,359,70,0.626149266667
A0A0H3B4K0,360,71,0.625870666667
A0AA36LNC6,361,72,0.625518777778
A0A0T9TRC6,362,73,0.625134000000
A0A9P1PUV5,193,74,0.624709400000
A0A0H3B3D7,363,75,0.624144400000
A0ABP1YI01,195,76,0.623966200000
A0A380PNY7,364,77,0.622720022222
A0ABM6UP52,365,78,0.622473266667
A0A380PNE2,366,79,0.622458644444
A0ABM9TDA6,367,80,0.622208177778
Q858U5,24,81,0.622096755556
A0ABM9TCS0,368,82,0.622052933333
A0A0H5M9D5,369,83,0.621019622222
I7LHK5,26,84,0.620653911111
A0A085U5Z0,370,85,0.620577733333
A0AAV3B8C3,371,86,0.620156688889
A0ABP1YEP8,199,87,0.619753533333
A0A0T9QDU9,372,88,0.619281711111
A0AAD2UYA7,5,89,0.619110222222
A0ABW9EYQ1,374,90,0.618935844444
A0A449C3Z7,28,91,0.618627266667
I7K3G3,29,92,0.618577711111
A0A449C5Q6,30,93,0.616293888889
A0AAX2I043,375,94,0.615659111111
I6Q9A1,31,95,0.615144333333
A0A7D3UKK9,32,96,0.614989977778
A0A208ZSG0,376,97,0.614969733333
A0A449C440,33,98,0.614412888889
A0AA90Y526,377,99,0.614249511111
A0A380QTF7,378,100,0.613903288889
A0A085U317,379,101,0.612871666667
A0A449C5Z2,35,102,0.612792733333
A0A2U2GXH7,380,103,0.612152844444
A0ABR4W9H6,381,104,0.612018866667
A0AB72ZDV0,382,105,0.611558622222
A0ABR4VWS1,383,106,0.611435022222
S5ML14,37,107,0.611320155556
A0AB73Q5K2,384,108,0.611209466667
A0A0T9UHA7,385,109,0.611013400000
I7LHJ5,38,110,0.610915155556
A1JK73,207,111,0.610792133333
A0A0U1R2N4,386,112,0.610413488889
A0A380PNP9,387,113,0.610269355556
A0A0T9QV26,388,114,0.610164533333
A0A449C555,39,115,0.609463711111
A0ABM9XUV6,389,116,0.609032800000
A0A0T9PYB4,390,117,0.608587933333
A0ABM6BHQ6,391,118,0.607106888889
A0A0H3B678,392,119,0.607031111111
A0AAE9FQ76,40,120,0.606862733333
A0A0U1QVC6,393,121,0.606855111111
A0AA90XZS1,394,122,0.606381288889
A0ABP1XZ23,216,123,0.606001955556
A0A1V0DXT2,41,124,0.605902622222
A0A0H3B1B9,395,125,0.605900200000
A0AB73Q656,396,126,0.605157600000
I7K324,42,127,0.604920088889
A0A209A9L1,397,128,0.604895555556
A0ABM5UHV5,398,129,0.604644488889
A0AB72ZL33,399,130,0.604537777778
A0A9P1UYK8,218,131,0.604433111111
A0A2G4TYK3,400,132,0.604266933333
A0ABR4W5R8,401,133,0.604109800000
A0ABM9SIE6,219,134,0.604027000000
A0A0A8VDN9,402,135,0.603896888889
A0AAI8ZVG7,403,136,0.603574177778
A0A7U4GE85,221,137,0.602909933333
A0A0H5MHG7,404,138,0.602467888889
A0AAX2I0L3,405,139,0.602434666667
A0AA36PIC1,406,140,0.602056244444
A0AAV3BAT5,407,141,0.601577733333
A0A7T9XT11,224,142,0.601382355556
A0ABM6UW81,408,143,0.600493711111
A0ABX5R0V5,409,144,0.599716866667
A0A0T9MSU1,410,145,0.599546777778
A1JNA9,226,146,0.599340111111
A0A088F649,44,147,0.599037777778
A0A7U4GE98,16,148,0.598315355556
S5M9F2,45,149,0.598190355556
A0ABP1Z8F7,411,150,0.598106688889
A0AB73QHN9,412,151,0.598002511111
A0A9P1PT53,228,152,0.597860888889
A0AB73NKW1,413,153,0.597785800000
A0AAV3B8C2,414,154,0.597770222222
A0AAE7CTI2,46,155,0.597673311111
A0AB73PP81,415,156,0.597423622222
A0A0T9LN66,416,157,0.597353711111
A0A0B4ZXE3,47,158,0.596754311111
A0ABM7AGN3,417,159,0.596295933333
A0ABM5U8M7,418,160,0.595892444444
A0ABN4CNM4,419,161,0.595784822222
A0ABP1YG46,231,162,0.595751866667
A0A0T9RQ76,420,163,0.595468311111
A0ABX6FH78,421,164,0.595126866667
S5MRA5,49,165,0.594918111111
A0A380PNA2,422,166,0.594182577778
A0AA44I1R7,423,167,0.593931400000
A0ABP2DZT0,424,168,0.592717133333
A0ABP1YH51,235,169,0.592492311111
A0ABY5UX71,425,170,0.592369777778
A0A0B5A4Q9,50,171,0.592365488889
A0A3B8DLH1,51,172,0.592142955556
