score_version,source_accession,pair_id,candidate_record_id,ordinary_candidate_policy,forced_rank_status,hard_coded_priority_status,gold_standard_bonus_status,Q9T0Z9_prior_E6_evidence_status,E6_1_sequence_function_score,E6_1_score_status,E6_2_structure_reliability_score,E6_2_score_status,E6_3_interaction_docking_score,E6_3_score_status,E6_4_constructability_expression_score,E6_4_score_status,E6_5_solubility_aggregation_chaperone_score,E6_5_score_status,E6_6_application_engineering_score,E6_6_score_status,E6_score_status,E6_evidence_completeness_status,E6_limited_evidence_flags
v5.4.8u,A0A088F649,A0A088F649__V52_B0_e0dac016b3932c71cc57__compound5,V52_B0_e0dac016b3932c71cc57,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.334314,limited_evidence,1.000000,computed,0.582799,limited_evidence,0.525000,limited_evidence,0.968750,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0B4ZXE3,A0A0B4ZXE3__V52_B0_560a733be97173df0a7f__compound5,V52_B0_560a733be97173df0a7f,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.334314,limited_evidence,1.000000,computed,0.654988,limited_evidence,0.275000,limited_evidence,0.859787,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0B5A4Q9,A0A0B5A4Q9__V52_B0_e182309b668540adee8d__compound5,V52_B0_e182309b668540adee8d,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.502941,limited_evidence,1.000000,computed,0.574392,limited_evidence,0.825000,limited_evidence,0.928571,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0G2PMU5,A0A0G2PMU5__V52_B0_7a865e2670aac9d91e66__compound5,V52_B0_7a865e2670aac9d91e66,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.425490,limited_evidence,1.000000,computed,0.691313,limited_evidence,0.700000,limited_evidence,0.938936,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0G2PMY8,A0A0G2PMY8__V52_B0_a1cd974de2f5316f4c94__compound5,V52_B0_a1cd974de2f5316f4c94,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.542157,limited_evidence,1.000000,computed,0.602200,limited_evidence,0.875000,limited_evidence,0.808775,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0H3NKM1,A0A0H3NKM1__V52_B0_402c2ed5738bec275248__compound5,V52_B0_402c2ed5738bec275248,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.425490,limited_evidence,1.000000,computed,0.679993,limited_evidence,0.800000,limited_evidence,0.912144,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0H3NZ47,A0A0H3NZ47__V52_B0_3eceb6098cd2f789468c__compound5,V52_B0_3eceb6098cd2f789468c,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.445098,limited_evidence,1.000000,computed,0.578618,limited_evidence,0.800000,limited_evidence,0.913660,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0H3NZ57,A0A0H3NZ57__V52_B0_01c8e8853dc65d3bd72b__compound5,V52_B0_01c8e8853dc65d3bd72b,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.366667,limited_evidence,1.000000,computed,0.547353,limited_evidence,0.450000,limited_evidence,0.912791,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0P0LE96,A0A0P0LE96__V52_B0_4789944fd54cabfb50cc__compound5,V52_B0_4789944fd54cabfb50cc,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.295098,limited_evidence,1.000000,computed,0.736607,computed,0.525000,limited_evidence,0.963109,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A0U2DXE3,A0A0U2DXE3__V52_B0_62a79aa83a1d1500ad93__compound5,V52_B0_62a79aa83a1d1500ad93,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.373529,limited_evidence,1.000000,computed,0.715794,computed,0.575000,limited_evidence,0.966758,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A1V0DXT2,A0A1V0DXT2__V52_B0_e17adc42c5374f6446a4__compound5,V52_B0_e17adc42c5374f6446a4,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.353922,limited_evidence,1.000000,computed,0.668439,limited_evidence,0.475000,limited_evidence,0.855769,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A1V0DXW2,A0A1V0DXW2__V52_B0_edf056290b2bd93ce630__compound5,V52_B0_edf056290b2bd93ce630,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.502941,limited_evidence,1.000000,computed,0.767408,limited_evidence,0.675000,limited_evidence,0.967871,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A449C3Z7,A0A449C3Z7__V52_B0_e0491d4f3d7d3df7cc92__compound5,V52_B0_e0491d4f3d7d3df7cc92,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.502941,limited_evidence,1.000000,computed,0.645659,limited_evidence,0.925000,limited_evidence,0.898471,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A449C440,A0A449C440__V52_B0_ed3d540e9b281f6de46c__compound5,V52_B0_ed3d540e9b281f6de46c,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.600980,limited_evidence,1.000000,computed,0.596016,limited_evidence,0.825000,limited_evidence,0.964410,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
v5.4.8u,A0A449C531,A0A449C531__V52_B0_a473da7455605014f629__compound5,V52_B0_a473da7455605014f629,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,not_Q9T0Z9,0.353922,limited_evidence,1.000000,computed,0.710196,limited_evidence,0.425000,limited_evidence,0.895834,limited_evidence,1.000000,limited_evidence,computed,limited_evidence_handled,E6_1_ESM2_not_included_no_imputation;E6_1_physicochemical_neutral_missing_anchor_not_measured;E6_3_pose_contact_PASS_REVIEW_REQUIRED_multiplier_0_88;E6_4_partial_local_raw_indicators_only;E6_5_partial_local_raw_indicators_only;E6_6_partial_local_raw_indicators_only
