accession,frozen_rank,rank,score
A0A9P1PWH0,23,1,0.854728000000
I7LHJ5,38,2,0.851342000000
I7K2S1,3,3,0.842560000000
A0AAX4Q2K6,20,4,0.840454000000
A0A449C440,33,5,0.831068000000
A0AAE7CTI2,46,6,0.830999000000
A0AAD2UYA7,5,7,0.830516000000
A0A449C5Z2,35,8,0.829929000000
A0A449C3Z7,28,9,0.828679000000
S5MLA1,6,10,0.827246000000
A0A7U4GE98,16,11,0.823307000000
A0A1V0DXW2,4,12,0.818870000000
A0A6M3G9R6,11,13,0.818748000000
A0AAE7V5N4,10,14,0.817307000000
A0A7U4JZS3,25,15,0.816894000000
F4N729,36,16,0.812544000000
A0AAE9FSZ1,17,17,0.811791000000
A0AAE9FUR5,18,18,0.807854000000
A0A449C5Q6,30,19,0.806089000000
F4N2J8,34,20,0.805781000000
A0A0B5A4Q9,50,21,0.805151000000
A0A0G2PMY8,43,22,0.804689000000
A0A0H3NKM1,13,23,0.802938000000
I7LHK5,26,24,0.800622000000
S5MRA5,49,25,0.798903000000
A0A449C555,39,26,0.798143000000
Q858U5,24,27,0.795734000000
A0A0G2PMU5,7,28,0.792623000000
S5M9F2,45,29,0.792446000000
A0A7U4GHF9,2,30,0.789778000000
A0A0H3NZ47,27,31,0.789563000000
A0AAE9FQ76,40,32,0.787875000000
A0A7D3UKK9,32,33,0.777489000000
Q858J8,9,34,0.773681000000
B3VCL5,8,35,0.772207000000
A0A0U2DXE3,14,36,0.771847000000
A0AAT9S6U3,19,37,0.755825000000
A0A0P0LE96,12,38,0.753302000000
Q9T0Z9,1,39,0.750948000000
S5M3B5,15,40,0.747164000000
I6Q9A1,31,41,0.745599000000
A0AAE7S353,22,42,0.738912000000
A0A088F649,44,43,0.735144000000
A0A449C531,21,44,0.730825000000
A0A1V0DXT2,41,45,0.725522000000
S5ML14,37,46,0.722279000000
I7K3G3,29,47,0.716953000000
A0A0H3NZ57,48,48,0.712802000000
I7K324,42,49,0.690288000000
A0A0B4ZXE3,47,50,0.687348000000
