G_pro1_rank,accession,G_pre1_rank,G_pre1_score,deployment_readiness_score,C_verified_status_score,domain_architecture_similarity,receptor_binding_region_similarity,structure_similarity,physicochemical_similarity,target_context_or_docking_similarity,C_verified_anchor_similarity_score,C_verified_score,G_pro1_score,wet_lab_status,evidence_registry_status,sequence_recovered,similarity_confidence,deployment_readiness_confidence,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,candidate_policy,source_pair_id,source_candidate_record_id,E6_4_constructability_expression_score,E6_5_solubility_aggregation_chaperone_score,E6_6_application_engineering_score,deployment_score_normalized_by_available_fields,score_normalized_by_available_fields,domain_component_status,receptor_binding_region_component_status,structure_component_status,physicochemical_component_status,target_context_or_docking_component_status,sequence_sha256,sequence_source_file
1,Q9T0Z9,1,0.856763,0.821473,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.896205,verified_positive,registered_7_C_verified_rows,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,Q9T0Z9__V52_B0_4258e8231588fe960a0e__compound5,V52_B0_4258e8231588fe960a0e,0.575000,0.978682,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,237c0c8d6d1fc671fe1d6b4fc132154cf7b8044ec87216cbfb35e32c9c2f3c0d,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
2,A0AAX4Q2K6,20,0.579390,0.961304,0.500000,,0.600664,1.000000,0.921571,0.770179,0.816539,0.594962,0.622253,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,medium,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAX4Q2K6__V52_B0_e1888fad7884237478d2__compound5,V52_B0_e1888fad7884237478d2,0.925000,0.978261,1.000000,false,true,missing,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,5e8b50c56777c4991e12e0f2ded55a1099d85ddcbcd4393261c7a87becf9fc6d,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
3,A0A0P0LE96,12,0.589310,0.795244,0.500000,1.000000,0.570218,1.000000,0.995344,0.679521,0.849249,0.604775,0.614543,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0P0LE96__V52_B0_4789944fd54cabfb50cc__compound5,V52_B0_4789944fd54cabfb50cc,0.525000,0.963109,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,e92abc0cdf34f2e59b61c8a28763e87d31c64cda99dc6bb5f7299896ad81d52f,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
4,A0A0U2DXE3,14,0.586512,0.816703,0.500000,1.000000,0.512581,1.000000,0.987377,0.713740,0.843371,0.603011,0.614481,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0U2DXE3__V52_B0_62a79aa83a1d1500ad93__compound5,V52_B0_62a79aa83a1d1500ad93,0.575000,0.966758,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,6c8c50932ac02f35aaef97a084d9d364f171171b08a5f71d29587014136b1faa,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
5,A0AAD2UYA7,5,0.594850,0.939784,0.500000,0.000000,0.444430,1.000000,0.923034,0.761422,0.579625,0.523888,0.608055,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAD2UYA7__V52_B0_992f5c237d53c9817f63__compound5,V52_B0_992f5c237d53c9817f63,0.925000,0.924460,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,4162ecdd071e275c3f9f01dc72a0b5175b5a1e0394dbd5a1cb3340d7fb46b9bc,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
6,A0AAT9S6U3,19,0.582123,0.778907,0.500000,1.000000,0.520255,1.000000,0.989496,0.678179,0.838111,0.601433,0.607594,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0AAT9S6U3__V52_B0_e8153b241c322ebe0ce2__compound5,V52_B0_e8153b241c322ebe0ce2,0.475000,0.972267,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,efe60e0c4edc1bce817107f1e953ab39400334b5852696582c6a4c5d8e6cdade,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
7,I7K2S1,3,0.602209,0.900764,0.500000,0.000000,0.469937,1.000000,0.935142,0.607234,0.555705,0.516712,0.606415,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I7K2S1__V52_B0_a1449c6f756547d68d82__compound5,V52_B0_a1449c6f756547d68d82,0.825000,0.926911,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,31af91cfbc9aa9e674fab1a2bd2b1581405808214a027ab656f63716f9b8f75a,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
8,A0A7U4GHF9,2,0.607981,0.851574,0.500000,0.000000,0.398404,1.000000,0.956760,0.673336,0.557862,0.517359,0.605154,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A7U4GHF9__V52_B0_fbf3d9e4a576d70660eb__compound5,V52_B0_fbf3d9e4a576d70660eb,0.700000,0.928934,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,3d638b35b546184ac847c1288314396dd0dfb7da01d79fcb31a8d5759bb74eb7,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
9,A0A7D3UKK9,32,0.565495,0.858915,0.500000,,0.673117,1.000000,0.949777,0.717465,0.827444,0.598233,0.604658,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,medium,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A7D3UKK9__V52_B0_fe003843f725cc65d2de__compound5,V52_B0_fe003843f725cc65d2de,0.750000,0.897287,1.000000,false,true,missing,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,248fe57028a83e391ef05d43c707513edde6079c1819688a95ad6d8b328826f3,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
10,A0A0H3NKM1,13,0.588103,0.884858,0.500000,0.000000,0.726958,1.000000,0.957234,0.697853,0.628547,0.538564,0.602917,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0H3NKM1__V52_B0_402c2ed5738bec275248__compound5,V52_B0_402c2ed5738bec275248,0.800000,0.912144,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,f3019dacd9c075b4e0f69b495d859ded7f5894231b202e2fba138c1ce9f6f2a5,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
11,A0A7U4GE98,16,0.585492,0.911519,0.500000,0.000000,0.533725,1.000000,0.912669,0.792678,0.602181,0.530654,0.601643,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A7U4GE98__V52_B0_eeff15dfb7ab2760e3db__compound5,V52_B0_eeff15dfb7ab2760e3db,0.975000,0.803798,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,050f48d6bbb1c2af986a6d09cd5207f83b8c12dd65fd07606b21eef83a04f0c2,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
12,A0A0G2PMU5,7,0.593066,0.855574,0.500000,0.000000,0.568847,1.000000,0.964863,0.711296,0.600758,0.530227,0.600465,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A0G2PMU5__V52_B0_7a865e2670aac9d91e66__compound5,V52_B0_7a865e2670aac9d91e66,0.700000,0.938936,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,699ab633ea6a90a81465b27e99819190b56e586bc629039b6d35f0e2423c6504,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
13,A0A1V0DXW2,4,0.599320,0.857148,0.500000,0.000000,0.494339,1.000000,0.918335,0.592046,0.555027,0.516508,0.600259,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A1V0DXW2__V52_B0_edf056290b2bd93ce630__compound5,V52_B0_edf056290b2bd93ce630,0.675000,0.967871,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,d79cea01584a0b61d00656930b19cef1b4a366133d8e8ca7ed6c0f9775600097,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
14,A0A6M3G9R6,11,0.590372,0.871124,0.500000,0.000000,0.643272,1.000000,0.911648,0.617578,0.588917,0.526675,0.599338,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A6M3G9R6__V52_B0_47ae88a6e130d5fe507c__compound5,V52_B0_47ae88a6e130d5fe507c,0.725000,0.952811,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,37276c3a50e79940a814c237c70db0dbb257dbdba752b9d03f0ef451023bf234,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
15,I7LHJ5,38,0.563662,0.979954,0.500000,0.000000,0.641426,1.000000,0.939402,0.805896,0.630375,0.539112,0.597926,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,I7LHJ5__V52_B0_88168e53e77c16b85858__compound5,V52_B0_88168e53e77c16b85858,0.975000,0.974886,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,4e6298264c5c9d8277fc76adabec82cca067fc5e5dad4c5bff54a37d0dd7dc9c,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
16,A0A7U4JZS3,25,0.568445,0.956666,0.500000,0.000000,0.587533,1.000000,0.932390,0.808515,0.619068,0.535720,0.597450,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A7U4JZS3__V52_B0_213ae9594ccd596735cc__compound5,V52_B0_213ae9594ccd596735cc,0.975000,0.916666,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,2cac81f244e27885be637b43068da76fff60c1cab369ba5833ba5674a22b36ce,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
17,B3VCL5,8,0.592939,0.768383,0.500000,0.333333,0.499835,1.000000,0.983388,0.666584,0.664125,0.549238,0.597373,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,B3VCL5__V52_B0_013acaaa5777bf04bd7f__compound5,V52_B0_013acaaa5777bf04bd7f,0.475000,0.945958,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,f48fac3ae786f3fb38b3fee0e1ac105ab43dc6a80cd288c0463e3d4deed67f40,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
18,A0A088F649,44,0.558317,0.797500,0.500000,1.000000,0.435355,1.000000,0.997582,0.810383,0.848785,0.604635,0.596131,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,A0A088F649__V52_B0_e0dac016b3932c71cc57__compound5,V52_B0_e0dac016b3932c71cc57,0.525000,0.968750,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,d04c570455dadb2885ec7beccd299a76d7320d05ac41aa68161a025d3151a77a,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
19,F4N729,36,0.564356,0.960322,0.500000,0.000000,0.744982,1.000000,0.911769,0.698987,0.625559,0.537668,0.595946,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate,F4N729__V52_B0_989606a9637da31f7cad__compound5,V52_B0_989606a9637da31f7cad,0.925000,0.975806,1.000000,false,false,computed,computed_from_contact_profile,computed_from_E6_2_structure_reliability_score,computed_from_recovered_sequence,computed_from_target_context_docking_and_broad_vina,cd565017b4e6079c3c291738af8dbf2470f107cc115a7a8b4567e32bbe435367,data/B0_standard_candidates/v5_2/B0_standard_candidate_records.csv
