accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.787209200000
A0ABN4CUU3,777,2,0.598077000000
A0A0T9Q3M1,538,3,0.596629200000
A0AB73NKK6,521,4,0.596511600000
A0ABY5UJQ0,592,5,0.594478200000
A0AB72ZMY1,352,6,0.593919000000
A0A380Q8N6,523,7,0.593110800000
A0A0T9LN66,416,8,0.592836600000
A0ABR4VWS1,383,9,0.590758800000
A0ABM5SPQ0,630,10,0.590758800000
A0A380PNP9,387,11,0.590758800000
A0ABY5UX71,425,12,0.590598000000
Q8D1M8,540,13,0.590357400000
A0ABM9XWV8,356,14,0.590259600000
A0A449C648,169,15,0.589903800000
A0AA36LI15,805,16,0.589285200000
A0A380QJL7,621,17,0.588581400000
A0ABM5Q168,684,18,0.588034800000
A0A0T9UVI4,692,19,0.587203800000
A0ABM9SZ95,457,20,0.587203800000
A0AAE9FKC7,134,21,0.587203800000
A0ABM9SY22,578,22,0.587203800000
A0AAX4Q2K6,20,23,0.586956600000
A0AAX4M7A4,101,24,0.586956600000
Q66BC8,456,25,0.586847400000
A0ABM9Y7R4,472,26,0.586789800000
A0A9P1PVU6,256,27,0.586764600000
A0A0B5A2N3,99,28,0.586746600000
A0A380PTJ1,569,29,0.586516800000
A0ABR4W506,481,30,0.586516800000
A0A0T9RQ76,420,31,0.586201200000
A0AAE7S353,22,32,0.586098600000
A1JNF1,135,33,0.586046400000
A0A0T9PX89,492,34,0.585897600000
A0ABM5UHV5,398,35,0.585897600000
A0ABX5R0C5,355,36,0.585631200000
F4N729,36,37,0.585483600000
A0A0T9QGW8,545,38,0.585227400000
I7LHJ5,38,39,0.584931600000
A0A0T9KKH2,620,40,0.584360400000
A0ABN4CQH5,635,41,0.584359800000
A0A0T9RLY2,690,42,0.584359800000
A0A380Q814,470,43,0.584359800000
S5ML17,154,44,0.584246400000
A0A0T9TRH4,625,45,0.583783800000
A0A9P1PUI1,251,46,0.583768800000
A0A449C555,39,47,0.583734600000
A0ABM9TMK5,486,48,0.583648800000
I6Q8T5,175,49,0.583602000000
Q858J8,9,50,0.583602000000
A0AAT9S6U3,19,51,0.583360200000
A0ABM9S1Y8,252,52,0.583244400000
A0ABP2DZT0,424,53,0.583141800000
A0A9P1PW91,291,54,0.583018800000
A0A0U1QW74,591,55,0.582835800000
A0A0T9PTD3,571,56,0.582835800000
A0A3B8E5R1,214,57,0.582691800000
A0A7U4GDH6,165,58,0.582635400000
I6Q9A1,31,59,0.582258000000
A0AA44CIL6,496,60,0.581707200000
A0A0T9KYN8,482,61,0.581467200000
A0A088F649,44,62,0.581250000000
A0AB73NNV4,659,63,0.580805400000
I7LEN8,229,64,0.580722600000
A0A1V0DXW2,4,65,0.580722600000
A0A449C6B7,92,66,0.580722600000
A0AB73PEI7,459,67,0.580095000000
A0ABM9SIE6,219,68,0.580095000000
A0A0H3B4K0,360,69,0.580095000000
A0A0U2DXE3,14,70,0.580054800000
A0AAV3B8C3,371,71,0.579850800000
A0A0H2W3V2,552,72,0.579487200000
A0ABM9TCZ7,333,73,0.579487200000
A0A449C5D9,112,74,0.579087000000
S5MRE0,212,75,0.579087000000
A0A449C469,180,76,0.579087000000
A0A449C440,33,77,0.578646000000
A0A0T9KX64,343,78,0.578299200000
A0AAE9FUR5,18,79,0.578097000000
A0A449C619,132,80,0.578082000000
A0A449C541,196,81,0.578082000000
A0A0P0LE96,12,82,0.577865400000
A0AB73PI84,339,83,0.577734000000
S5M7E4,151,84,0.577710600000
A0AA44I1K4,506,85,0.577350600000
Q66BC4,529,86,0.577251000000
A0AAX4Q195,130,87,0.577251000000
A0AAX4M7M8,110,88,0.577251000000
A0A7U0AV15,265,89,0.576540600000
A0A0H3NZ59,104,90,0.576540600000
A0A0T9QCY7,585,91,0.576540000000
A0A3B8DLH1,51,92,0.576041400000
A0AAD2UW33,271,93,0.575982600000
A0A449C567,139,94,0.575830800000
I7LHK5,26,95,0.575830800000
A0A6M3G874,137,96,0.575830800000
A0A449C638,91,97,0.575830800000
A0AA51VJM6,124,98,0.575481000000
A0AAX2I043,375,99,0.575214000000
A0AB72ZL33,399,100,0.575214000000
A0AAV3BFY5,579,101,0.575214000000
A0ABM7ANK9,444,102,0.575214000000
A0A0H3B6E3,351,103,0.575214000000
A0A0E1NTB1,483,104,0.575214000000
Q66CW8,670,105,0.575214000000
A0A0H2YL52,508,106,0.575214000000
B6CGX2,581,107,0.575196600000
A0A208ZGJ0,499,108,0.575176200000
A0A3B8DYH7,188,109,0.574999800000
S5M9F2,45,110,0.574999800000
A0ABM9SSJ6,674,111,0.574999800000
A0AAE9FQ76,40,112,0.574934400000
A0A6M3GA37,54,113,0.574657800000
A0A449C3S4,83,114,0.574657800000
A0A3B8DLJ2,72,115,0.574657800000
