accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.931236550000
F4N729,36,2,0.592467400000
A0AAD2UYA7,5,3,0.585888750000
A0A7U4GHF9,2,4,0.584013725000
A0A7U4JZS3,25,5,0.583868275000
A0A0H3NZ59,104,6,0.571020275000
F4N728,74,7,0.570560000000
A0A0G2PMU5,7,8,0.568504337500
A0A7U4GE98,16,9,0.567338887500
A0A0G2PMU8,56,10,0.567251600000
A0A0H3NKM1,13,11,0.565130225000
A0A0H3NZ47,27,12,0.564521687500
F4N2J8,34,13,0.564222262500
A0A0H3NP24,113,14,0.564016887500
A0A0H3NQF5,242,15,0.563192750000
A0A0H3NQY6,166,16,0.561484462500
A0A7U4K0B3,62,17,0.561073350000
I7LHJ5,38,18,0.560379275000
A0AAX4Q2K6,20,19,0.560205025000
A0A0H3NZ57,48,20,0.559593775000
A0A0H3NU55,232,21,0.558863850000
S5ML17,154,22,0.558358100000
A0AAX4M7A4,101,23,0.558237087500
A0AAE9FKC7,134,24,0.558095450000
A0A0H3NSE3,119,25,0.557717700000
A0A449C440,33,26,0.557540750000
A0A1V0DXW2,4,27,0.557297525000
A0A6M3GA37,54,28,0.557278950000
A0A449C619,132,29,0.557071375000
A0A449C555,39,30,0.556755087500
A0A3B8DLH1,51,31,0.556371162500
A0A449C5Z2,35,32,0.556167412500
A0A449C541,196,33,0.556101875000
A0A3B8DLJ2,72,34,0.556081075000
A0AAE9FUR5,18,35,0.555952625000
A0A449C3S4,83,36,0.555906200000
A0A0B5A2N3,99,37,0.555881962500
A0A449C648,169,38,0.555284387500
Q858J8,9,39,0.555193062500
A0AAX4M7M8,110,40,0.555138937500
A0A6M3G9R6,11,41,0.555030900000
A0A449C6B7,92,42,0.554992900000
I7LHK5,26,43,0.554934075000
A0AAX4Q195,130,44,0.554899250000
A0A449C528,69,45,0.554790412500
I7K354,95,46,0.554585087500
A0A1V0DXT5,78,47,0.554383700000
A0A1V0DXX1,109,48,0.554377775000
S5M9F2,45,49,0.554215325000
A0A0U2DXE3,14,50,0.554191637500
A0AAT9S6U3,19,51,0.554016612500
S5M7B3,127,52,0.553964512500
A0AAE9FQ76,40,53,0.553913287500
A0A7U4K153,303,54,0.553847425000
I7KRU3,105,55,0.553793500000
A0A449C638,91,56,0.553702387500
A0AAE7S353,22,57,0.553644150000
S5M7E4,151,58,0.553437400000
A0AAE9FSV4,215,59,0.553364275000
A0AAE7TR04,172,60,0.553353250000
S5ML49,138,61,0.553347687500
A0A3B8DL31,85,62,0.553332000000
A0AAE9FLD0,108,63,0.553300650000
A0A6M3G916,93,64,0.553274887500
A0A449C5D9,112,65,0.553272312500
A0AAE9JYN2,225,66,0.553230587500
I6Q9A1,31,67,0.553101937500
A0A6M3G874,137,68,0.553056637500
A0A449C567,139,69,0.553026950000
A0A3B8DLI7,114,70,0.552986075000
I7LF14,170,71,0.552893450000
A0A449C6B2,247,72,0.552823862500
A0AA86IYU9,157,73,0.552796412500
A0A0B4ZZK4,198,74,0.552776975000
A0A3B8E5R1,214,75,0.552670200000
I7K2S1,3,76,0.552634150000
A0A449C4X7,147,77,0.552565512500
I7J3W0,87,78,0.552519212500
A0A449C3T4,100,79,0.552514087500
A0A0P0LE96,12,80,0.552485225000
I7LEN8,229,81,0.552455837500
A0A449C469,180,82,0.552349500000
A0A088F649,44,83,0.552196500000
A0AAE6YPB5,210,84,0.552187612500
A0A3B8DYH7,188,85,0.552153637500
A0AAE7PDK2,73,86,0.552053250000
A0A449C435,61,87,0.551960675000
S5MRE0,212,88,0.551776000000
S5M3A7,94,89,0.551508050000
A0A6M3G969,79,90,0.551316237500
A0A7D3UL75,191,91,0.551238287500
I6Q8T5,175,92,0.551195500000
B3VCL5,8,93,0.551094137500
I7KR83,59,94,0.551013012500
A0A1V0DXD5,71,95,0.550960775000
A0AAE7V7A7,201,96,0.550717575000
A0AAE7TQG4,168,97,0.550697062500
A0AAE9FPR6,206,98,0.550560300000
A0AA86J574,208,99,0.550549550000
A0A0B5A4Q9,50,100,0.550545087500
A0A0H3NU58,82,101,0.550376362500
A0AA51VJM6,124,102,0.550225625000
A0A449C608,128,103,0.550072187500
A0A0B5A4J3,88,104,0.549926012500
A0A6M3G8B9,141,105,0.549826512500
