accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.862332673684
A0A7U4GHF9,2,2,0.598412926316
I7K2S1,3,3,0.589559284211
A0A1V0DXW2,4,4,0.587764336842
B3VCL5,8,5,0.583504168421
Q858J8,9,6,0.583116631579
A0A0G2PMU5,7,7,0.582563073684
A0AAD2UYA7,5,8,0.582446105263
S5MLA1,6,9,0.581812378947
A0A0P0LE96,12,10,0.580678400000
A0AAE7V5N4,10,11,0.580137726316
A0A6M3G9R6,11,12,0.578351915789
S5M3B5,15,13,0.577381600000
A0A0H3NKM1,13,14,0.576795663158
A0A0U2DXE3,14,15,0.576757642105
A0AAE9FSZ1,17,16,0.573505347368
A0AAT9S6U3,19,17,0.572980463158
A0A7U4GE98,16,18,0.572975326316
A0AAE9FUR5,18,19,0.570605684211
A0A449C531,21,20,0.566620294737
A0AAX4Q2K6,20,21,0.565649810526
A0AAE7S353,22,22,0.563615494737
I7K3G3,29,23,0.559223494737
Q858U5,24,24,0.556744042105
I6Q9A1,31,25,0.556089473684
I7LHK5,26,26,0.555803326316
A0A9P1PWH0,23,27,0.555655452632
A0A0H3NZ47,27,28,0.555645052632
S5ML14,37,29,0.555505389474
A0A7U4JZS3,25,30,0.555369178947
A0A7D3UKK9,32,31,0.554337936842
I7K324,42,32,0.554157515789
A0A449C5Q6,30,33,0.553450315789
A0A449C3Z7,28,34,0.553366652632
A0A1V0DXT2,41,35,0.552768505263
F4N2J8,34,36,0.551971115789
F4N729,36,37,0.551293178947
A0A449C440,33,38,0.551244631579
A0A449C555,39,39,0.550633178947
A0A449C5Z2,35,40,0.550537136842
A0A0B4ZXE3,47,41,0.550444252632
A0AAE9FQ76,40,42,0.549941557895
A0A088F649,44,43,0.549010315789
A0A0H3NZ57,48,44,0.548953178947
I7LHJ5,38,45,0.548520757895
A0A0G2PMY8,43,46,0.547361052632
S5M9F2,45,47,0.545593010526
S5MRA5,49,48,0.543703157895
A0AAE7CTI2,46,49,0.543318989474
A0ZXG5,60,50,0.543196042105
A0AAX4Q199,53,51,0.542742652632
A0A449C3U4,52,52,0.542624000000
I7J474,58,53,0.542364378947
A0A0B5A4Q9,50,54,0.542165178947
A0A2H1UJ87,68,55,0.542100463158
A0A6M3GA49,70,56,0.541804210526
A0A1V0DXR7,55,57,0.541702694737
A0AAE9JYJ2,57,58,0.541494778947
A0AAE7PDX0,64,59,0.541434736842
A0A3B8DLH1,51,60,0.541132294737
A0AA51VH76,67,61,0.540834905263
A0A2C9CXH4,65,62,0.539813515789
A0A0G2PMU8,56,63,0.539696294737
A0A7D3UH03,66,64,0.539582147368
A0A6M3GA37,54,65,0.539213010526
A0AAE9FRM6,63,66,0.539088336842
I7KR83,59,67,0.538614905263
A0A7U4K0B3,62,68,0.538585347368
A0A2D0PE70,81,69,0.538010652632
A0A449C435,61,70,0.537801094737
F4N728,74,71,0.536916631579
A0A6M3G969,79,72,0.536878778947
A0AAE9JVZ5,75,73,0.536563073684
A0A449C528,69,74,0.536229347368
I7LH81,77,75,0.536033305263
A0AAE7PDK2,73,76,0.535976210526
A0A449C5C7,76,77,0.535914526316
A0A1V0DXD5,71,78,0.535886863158
A0A3B8DLJ2,72,79,0.535643115789
S5MRE6,84,80,0.535010484211
A0AAX4Q2X2,80,81,0.534469136842
A0A0H3NU58,82,82,0.534033305263
A0A1V0DXT5,78,83,0.533403326316
A0A449C6D2,89,84,0.532504547368
A0A449C3S4,83,85,0.532109642105
I7J3W0,87,86,0.532045178947
A0A3B8DL31,85,87,0.531877263158
A0AA86IWK5,86,88,0.531716757895
A0A0B5A2V7,90,89,0.530951578947
A0A449C638,91,90,0.530910063158
A0A449C6B7,92,91,0.530660336842
A0A0B5A4J3,88,92,0.530169221053
S5M3A7,94,93,0.528653515789
A0A7D3QKX7,96,94,0.528600884211
A0A6M3G916,93,95,0.528520800000
A0A449C3Q1,117,96,0.528322484211
I7K354,95,97,0.527938021053
A0A0B5A2N3,99,98,0.527872757895
A0A2D0PE10,118,99,0.527513768421
A0A449C3T4,100,100,0.527485600000
A0A7D3V1W8,98,101,0.527070315789
A0A2H1X991,120,102,0.526885431579
A0A2D0PCZ8,116,103,0.526764252632
A0A449C4D0,97,104,0.526534778947
A0A0H3NZ59,104,105,0.526479284211
A0AAD2UWV2,103,106,0.526416968421
A0AAX4M7A4,101,107,0.525876968421
A0AAE7V728,107,108,0.525861136842
I7KRU3,105,109,0.525812631579
A0AAX4Q2U9,102,110,0.525545263158
A0A449C5D9,112,111,0.525432210526
A0A0H3NSE3,119,112,0.524630694737
A0A7D3QQ81,106,113,0.524520252632
A0AA51VJM6,124,114,0.524481894737
A0AAX4M7M8,110,115,0.524188421053
A0A1V0DXX1,109,116,0.523747705263
A0AAE9FLD0,108,117,0.523484126316
A0A3B8DLI7,114,118,0.522909010526
A0A0H3NP24,113,119,0.522806484211
A0A6M3G876,126,120,0.522689389474
A0A7T9XU25,111,121,0.522117094737
A0A6M3G8D1,121,122,0.522041936842
A0A1V0DXS1,115,123,0.522014231579
A0A0B4ZZM3,131,124,0.521182694737
A0AAE9FRR2,123,125,0.520846568421
A0AAE9FQ04,125,126,0.520577094737
A0AAE6YPH1,122,127,0.520511200000
A0A7D3QML5,129,128,0.520351536842
S5M7B3,127,129,0.519540589474
A0A449C608,128,130,0.519503789474
A0AAX4Q195,130,131,0.519345052632
I7LH90,133,132,0.518125431579
A0AAE9FKC7,134,133,0.518015957895
A0A7D3QJ92,136,134,0.517987452632
A0A6M3G874,137,135,0.517859747368
I7K349,146,136,0.517263873684
A0A449C567,139,137,0.517258905263
A0A449C619,132,138,0.517236631579
A0A3B8E1I5,159,139,0.517078905263
S5ML49,138,140,0.516802315789
A0A3B8DYI1,142,141,0.516751578947
A0AAE6YNJ4,140,142,0.516507157895
A0A1V0DXW6,145,143,0.516139326316
A0A7U4GCC7,150,144,0.516121810526
I7KRG5,144,145,0.515692126316
I7K3U3,143,146,0.515683115789
A0A449C3W7,152,147,0.515549894737
I7KRT2,162,148,0.515330652632
A0A6M3G8B9,141,149,0.515126063158
S5M7E4,151,150,0.514863705263
S5M3D7,148,151,0.514428294737
A0A449C4X7,147,152,0.514408800000
A1JNF1,135,153,0.514293978947
A0AAE9FSY2,149,154,0.514069768421
A0A2C9CYF4,158,155,0.513746568421
A0A449C5Z9,153,156,0.513715326316
A0A1V0DXV4,164,157,0.511978568421
A0A7U4GG50,160,158,0.511530231579
A0AAE9FRD5,155,159,0.511418442105
A0AAE7PH03,173,160,0.511318863158
S5ML17,154,161,0.511230189474
A0A2C9CZQ3,156,162,0.511128884211
I6Q8T5,175,163,0.510580421053
A0A449C5X9,181,164,0.510579242105
A0AA86IYU9,157,165,0.510432294737
I7J3Y3,161,166,0.510069178947
A0A449C648,169,167,0.509926063158
A0A0H3NQY6,166,168,0.509278863158
A0A7D3QKS7,163,169,0.509180631579
A0AAE7TQG4,168,170,0.508567157895
A0AAE6YNV4,174,171,0.508177305263
A0A449C532,167,172,0.508125094737
A0AAE7TR04,172,173,0.507463578947
A0A3B8DL36,171,174,0.507400168421
I7LF14,170,175,0.507289010526
A0A2D0PDX6,189,176,0.507232505263
A0A449C469,180,177,0.506782736842
A0A449C542,182,178,0.506456757895
A0A7U4GDH6,165,179,0.506365978947
A0A449C3X5,178,180,0.505834821053
A0A1V0DXR4,176,181,0.505829600000
