source_accession,G_pre1_target_engineering_composite_rank,G_pre1_target_engineering_composite_score
Q9T0Z9,1,0.856763
A0A7U4GHF9,2,0.607981
I7K2S1,3,0.602209
A0A1V0DXW2,4,0.599320
A0AAD2UYA7,5,0.594850
S5MLA1,6,0.594084
A0A0G2PMU5,7,0.593066
B3VCL5,8,0.592939
Q858J8,9,0.592645
A0AAE7V5N4,10,0.591996
A0A6M3G9R6,11,0.590372
A0A0P0LE96,12,0.589310
A0A0H3NKM1,13,0.588103
A0A0U2DXE3,14,0.586512
S5M3B5,15,0.585871
A0A7U4GE98,16,0.585492
A0AAE9FSZ1,17,0.585420
A0AAE9FUR5,18,0.582468
A0AAT9S6U3,19,0.582123
A0AAX4Q2K6,20,0.579390
A0A449C531,21,0.574831
A0AAE7S353,22,0.572380
A0A9P1PWH0,23,0.570609
Q858U5,24,0.568694
A0A7U4JZS3,25,0.568445
I7LHK5,26,0.568044
A0A0H3NZ47,27,0.567341
A0A449C3Z7,28,0.567132
I7K3G3,29,0.567110
A0A449C5Q6,30,0.566082
I6Q9A1,31,0.565565
A0A7D3UKK9,32,0.565495
A0A449C440,33,0.565236
F4N2J8,34,0.564662
A0A449C5Z2,35,0.564507
F4N729,36,0.564356
S5ML14,37,0.563844
I7LHJ5,38,0.563662
A0A449C555,39,0.563009
A0AAE9FQ76,40,0.561838
A0A1V0DXT2,41,0.561406
I7K324,42,0.560964
A0A0G2PMY8,43,0.560227
A0A088F649,44,0.558317
S5M9F2,45,0.557936
A0AAE7CTI2,46,0.557703
A0A0B4ZXE3,47,0.557289
A0A0H3NZ57,48,0.557146
S5MRA5,49,0.556463
A0A0B5A4Q9,50,0.555314
A0A3B8DLH1,51,0.555214
A0A449C3U4,52,0.555182
A0AAX4Q199,53,0.554484
A0A6M3GA37,54,0.554394
A0A1V0DXR7,55,0.554173
A0A0G2PMU8,56,0.553840
A0AAE9JYJ2,57,0.553770
I7J474,58,0.553753
I7KR83,59,0.553015
A0ZXG5,60,0.553007
A0A449C435,61,0.551842
A0A7U4K0B3,62,0.551361
A0AAE9FRM6,63,0.551334
A0AAE7PDX0,64,0.551201
A0A2C9CXH4,65,0.551017
A0A7D3UH03,66,0.550893
A0AA51VH76,67,0.550719
A0A2H1UJ87,68,0.550419
A0A449C528,69,0.550334
A0A6M3GA49,70,0.550267
A0A1V0DXD5,71,0.550246
A0A3B8DLJ2,72,0.550044
A0AAE7PDK2,73,0.549229
F4N728,74,0.549019
A0AAE9JVZ5,75,0.548762
A0A449C5C7,76,0.548731
I7LH81,77,0.548722
A0A1V0DXT5,78,0.548588
A0A6M3G969,79,0.548237
A0AAX4Q2X2,80,0.547988
A0A2D0PE70,81,0.547392
A0A0H3NU58,82,0.546590
A0A449C3S4,83,0.546548
S5MRE6,84,0.546476
A0A3B8DL31,85,0.546421
A0AA86IWK5,86,0.546154
I7J3W0,87,0.546077
A0A0B5A4J3,88,0.544643
A0A449C6D2,89,0.544182
A0A0B5A2V7,90,0.543767
A0A449C638,91,0.543410
A0A449C6B7,92,0.543227
A0A6M3G916,93,0.542840
S5M3A7,94,0.542790
I7K354,95,0.542149
A0A7D3QKX7,96,0.540865
A0A449C4D0,97,0.540580
A0A7D3V1W8,98,0.540304
A0A0B5A2N3,99,0.540085
A0A449C3T4,100,0.540035
A0AAX4M7A4,101,0.540031
A0AAX4Q2U9,102,0.539675
A0AAD2UWV2,103,0.539347
A0A0H3NZ59,104,0.539163
I7KRU3,105,0.539061
A0A7D3QQ81,106,0.538787
A0AAE7V728,107,0.538631
A0AAE9FLD0,108,0.538442
A0A1V0DXX1,109,0.538002
A0AAX4M7M8,110,0.537890
A0A7T9XU25,111,0.537662
A0A449C5D9,112,0.537211
A0A0H3NP24,113,0.537075
A0A3B8DLI7,114,0.536984
A0A1V0DXS1,115,0.536501
A0A2D0PCZ8,116,0.536223
A0A449C3Q1,117,0.536072
A0A2D0PE10,118,0.536000
A0A0H3NSE3,119,0.535494
A0A2H1X991,120,0.535354
A0A6M3G8D1,121,0.535013
A0AAE6YPH1,122,0.534840
A0AAE9FRR2,123,0.534695
A0AA51VJM6,124,0.534592
