accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.856763000000
A0A7U4GHF9,2,2,0.607981000000
I7K2S1,3,3,0.602209000000
A0A1V0DXW2,4,4,0.599320000000
A0AAD2UYA7,5,5,0.594850000000
S5MLA1,6,6,0.594084000000
A0A0G2PMU5,7,7,0.593066000000
B3VCL5,8,8,0.592939000000
Q858J8,9,9,0.592645000000
A0AAE7V5N4,10,10,0.591996000000
A0A6M3G9R6,11,11,0.590372000000
A0A0P0LE96,12,12,0.589310000000
A0A0H3NKM1,13,13,0.588103000000
A0A0U2DXE3,14,14,0.586512000000
S5M3B5,15,15,0.585871000000
A0A7U4GE98,16,16,0.585492000000
A0AAE9FSZ1,17,17,0.585420000000
A0AAE9FUR5,18,18,0.582468000000
A0AAT9S6U3,19,19,0.582123000000
A0AAX4Q2K6,20,20,0.579390000000
A0A449C531,21,21,0.574831000000
A0AAE7S353,22,22,0.572380000000
A0A9P1PWH0,23,23,0.570609000000
Q858U5,24,24,0.568694000000
A0A7U4JZS3,25,25,0.568445000000
I7LHK5,26,26,0.568044000000
A0A0H3NZ47,27,27,0.567341000000
A0A449C3Z7,28,28,0.567132000000
I7K3G3,29,29,0.567110000000
A0A449C5Q6,30,30,0.566082000000
I6Q9A1,31,31,0.565565000000
A0A7D3UKK9,32,32,0.565495000000
A0A449C440,33,33,0.565236000000
F4N2J8,34,34,0.564662000000
A0A449C5Z2,35,35,0.564507000000
F4N729,36,36,0.564356000000
S5ML14,37,37,0.563844000000
I7LHJ5,38,38,0.563662000000
A0A449C555,39,39,0.563009000000
A0AAE9FQ76,40,40,0.561838000000
A0A1V0DXT2,41,41,0.561406000000
I7K324,42,42,0.560964000000
A0A0G2PMY8,43,43,0.560227000000
A0A088F649,44,44,0.558317000000
S5M9F2,45,45,0.557936000000
A0AAE7CTI2,46,46,0.557703000000
A0A0B4ZXE3,47,47,0.557289000000
A0A0H3NZ57,48,48,0.557146000000
S5MRA5,49,49,0.556463000000
A0A0B5A4Q9,50,50,0.555314000000
A0A3B8DLH1,51,51,0.555214000000
A0A449C3U4,52,52,0.555182000000
A0AAX4Q199,53,53,0.554484000000
A0A6M3GA37,54,54,0.554394000000
A0A1V0DXR7,55,55,0.554173000000
A0A0G2PMU8,56,56,0.553840000000
A0AAE9JYJ2,57,57,0.553770000000
I7J474,58,58,0.553753000000
I7KR83,59,59,0.553015000000
A0ZXG5,60,60,0.553007000000
A0A449C435,61,61,0.551842000000
A0A7U4K0B3,62,62,0.551361000000
A0AAE9FRM6,63,63,0.551334000000
A0AAE7PDX0,64,64,0.551201000000
A0A2C9CXH4,65,65,0.551017000000
A0A7D3UH03,66,66,0.550893000000
A0AA51VH76,67,67,0.550719000000
A0A2H1UJ87,68,68,0.550419000000
A0A449C528,69,69,0.550334000000
A0A6M3GA49,70,70,0.550267000000
A0A1V0DXD5,71,71,0.550246000000
A0A3B8DLJ2,72,72,0.550044000000
A0AAE7PDK2,73,73,0.549229000000
F4N728,74,74,0.549019000000
A0AAE9JVZ5,75,75,0.548762000000
A0A449C5C7,76,76,0.548731000000
I7LH81,77,77,0.548722000000
A0A1V0DXT5,78,78,0.548588000000
A0A6M3G969,79,79,0.548237000000
A0AAX4Q2X2,80,80,0.547988000000
A0A2D0PE70,81,81,0.547392000000
A0A0H3NU58,82,82,0.546590000000
A0A449C3S4,83,83,0.546548000000
S5MRE6,84,84,0.546476000000
A0A3B8DL31,85,85,0.546421000000
A0AA86IWK5,86,86,0.546154000000
I7J3W0,87,87,0.546077000000
A0A0B5A4J3,88,88,0.544643000000
A0A449C6D2,89,89,0.544182000000
A0A0B5A2V7,90,90,0.543767000000
A0A449C638,91,91,0.543410000000
A0A449C6B7,92,92,0.543227000000
A0A6M3G916,93,93,0.542840000000
S5M3A7,94,94,0.542790000000
I7K354,95,95,0.542149000000
A0A7D3QKX7,96,96,0.540865000000
A0A449C4D0,97,97,0.540580000000
A0A7D3V1W8,98,98,0.540304000000
A0A0B5A2N3,99,99,0.540085000000
A0A449C3T4,100,100,0.540035000000
A0AAX4M7A4,101,101,0.540031000000
A0AAX4Q2U9,102,102,0.539675000000
A0AAD2UWV2,103,103,0.539347000000
A0A0H3NZ59,104,104,0.539163000000
I7KRU3,105,105,0.539061000000
A0A7D3QQ81,106,106,0.538787000000
A0AAE7V728,107,107,0.538631000000
A0AAE9FLD0,108,108,0.538442000000
A0A1V0DXX1,109,109,0.538002000000
A0AAX4M7M8,110,110,0.537890000000
A0A7T9XU25,111,111,0.537662000000
A0A449C5D9,112,112,0.537211000000
A0A0H3NP24,113,113,0.537075000000
A0A3B8DLI7,114,114,0.536984000000
A0A1V0DXS1,115,115,0.536501000000
A0A2D0PCZ8,116,116,0.536223000000
A0A449C3Q1,117,117,0.536072000000
A0A2D0PE10,118,118,0.536000000000
A0A0H3NSE3,119,119,0.535494000000
A0A2H1X991,120,120,0.535354000000
A0A6M3G8D1,121,121,0.535013000000
A0AAE6YPH1,122,122,0.534840000000
A0AAE9FRR2,123,123,0.534695000000
A0AA51VJM6,124,124,0.534592000000
A0AAE9FQ04,125,125,0.534506000000
A0A6M3G876,126,126,0.534470000000
S5M7B3,127,127,0.533819000000
A0A449C608,128,128,0.533714000000
A0A7D3QML5,129,129,0.533683000000
A0AAX4Q195,130,130,0.533097000000
A0A0B4ZZM3,131,131,0.532897000000
A0A449C619,132,132,0.532666000000
I7LH90,133,133,0.532644000000
A0AAE9FKC7,134,134,0.532401000000
A1JNF1,135,135,0.531330000000
A0A7D3QJ92,136,136,0.530840000000
A0A6M3G874,137,137,0.530496000000
S5ML49,138,138,0.530145000000
A0A449C567,139,139,0.529901000000
A0AAE6YNJ4,140,140,0.529851000000
A0A6M3G8B9,141,141,0.529787000000
A0A3B8DYI1,142,142,0.529710000000
I7K3U3,143,143,0.529549000000
I7KRG5,144,144,0.529117000000
A0A1V0DXW6,145,145,0.529087000000
I7K349,146,146,0.528777000000
A0A449C4X7,147,147,0.528572000000
S5M3D7,148,148,0.528339000000
A0AAE9FSY2,149,149,0.527787000000
A0A7U4GCC7,150,150,0.527703000000
S5M7E4,151,151,0.527578000000
A0A449C3W7,152,152,0.527416000000
A0A449C5Z9,153,153,0.526956000000
S5ML17,154,154,0.526756000000
A0AAE9FRD5,155,155,0.525785000000
A0A2C9CZQ3,156,156,0.525670000000
A0AA86IYU9,157,157,0.525529000000
A0A2C9CYF4,158,158,0.525222000000
A0A3B8E1I5,159,159,0.524946000000
A0A7U4GG50,160,160,0.524850000000
I7J3Y3,161,161,0.524711000000
I7KRT2,162,162,0.524466000000
A0A7D3QKS7,163,163,0.523825000000
A0A1V0DXV4,164,164,0.523567000000
A0A7U4GDH6,165,165,0.523175000000
A0A0H3NQY6,166,166,0.523083000000
A0A449C532,167,167,0.522623000000
A0AAE7TQG4,168,168,0.522106000000
A0A449C648,169,169,0.521927000000
I7LF14,170,170,0.521844000000
A0A3B8DL36,171,171,0.521843000000
A0AAE7TR04,172,172,0.521478000000
A0AAE7PH03,173,173,0.521421000000
A0AAE6YNV4,174,174,0.520785000000
I6Q8T5,175,175,0.520537000000
A0A1V0DXR4,176,176,0.520516000000
F4N708,177,177,0.519959000000
A0A449C3X5,178,178,0.519835000000
A0AAE9JXJ1,179,179,0.518935000000
A0A449C469,180,180,0.518756000000
A0A449C5X9,181,181,0.518472000000
A0A449C542,182,182,0.518406000000
A0A3B8DYS4,183,183,0.517930000000
A0A449C597,184,184,0.517877000000
A0A0B5A4M1,185,185,0.517603000000
A0A0B5A2T1,186,186,0.517408000000
A0A7U4GDF9,187,187,0.516850000000
A0A3B8DYH7,188,188,0.516702000000
A0A2D0PDX6,189,189,0.515930000000
S5M7K0,190,190,0.515625000000
A0A7D3UL75,191,191,0.515410000000
A0AAE7V5W0,192,192,0.515398000000
A0A9P1PUV5,193,193,0.514869000000
A0AAE7S224,194,194,0.514626000000
A0ABP1YI01,195,195,0.514535000000
A0A449C541,196,196,0.513276000000
A0A2C9CYV8,197,197,0.513064000000
A0A0B4ZZK4,198,198,0.513016000000
A0ABP1YEP8,199,199,0.512639000000
A0AAE9FQP6,200,200,0.512231000000
A0AAE7V7A7,201,201,0.511788000000
A0AA86J4Z9,202,202,0.511711000000
A0AAX4M766,203,203,0.511169000000
A0AAX4M771,204,204,0.511108000000
A0A0B4ZXG6,205,205,0.510424000000
A0AAE9FPR6,206,206,0.510063000000
A1JK73,207,207,0.508606000000
A0AA86J574,208,208,0.508458000000
I7KRB0,209,209,0.507909000000
A0AAE6YPB5,210,210,0.507712000000
A0A6M3G945,211,211,0.507499000000
S5MRE0,212,212,0.507286000000
A0AAE9FV72,213,213,0.506936000000
A0A3B8E5R1,214,214,0.506665000000
A0AAE9FSV4,215,215,0.506527000000
A0ABP1XZ23,216,216,0.506451000000
I7LEG3,217,217,0.506166000000
A0A9P1UYK8,218,218,0.505745000000
A0ABM9SIE6,219,219,0.505562000000
A0A449C473,220,220,0.505216000000
A0A7U4GE85,221,221,0.505059000000
A0A7D3V4S6,222,222,0.504989000000
A0A2D0PDR4,223,223,0.504706000000
A0A7T9XT11,224,224,0.504372000000
A0AAE9JYN2,225,225,0.503852000000
A1JNA9,226,226,0.503453000000
A0AAE9JW72,227,227,0.503322000000
A0A9P1PT53,228,228,0.502787000000
I7LEN8,229,229,0.502486000000
Q858V3,230,230,0.502191000000
A0ABP1YG46,231,231,0.501838000000
A0A0H3NU55,232,232,0.500641000000
A0A449C3Q7,233,233,0.500589000000
A0A449C610,234,234,0.500528000000
A0ABP1YH51,235,235,0.500372000000
A0A2D0PE26,236,236,0.500274000000
A0A0H5HBD5,237,237,0.499945000000
A0ABM9S2F3,238,238,0.499888000000
A0ABM9S2J3,239,239,0.499863000000
A0A6M3G872,240,240,0.499533000000
A0A0H5GK99,241,241,0.499244000000
A0A0H3NQF5,242,242,0.498712000000
A0AAE9FL40,243,243,0.496944000000
A0A2H1UJ90,244,244,0.496800000000
A0A6M3G8P6,245,245,0.496633000000
A0A0B5A2L0,246,246,0.496488000000
A0A449C6B2,247,247,0.495705000000
A0A0H5H8V4,248,248,0.494883000000
F4N731,249,249,0.494357000000
A0A7U4K299,250,250,0.494170000000
A0A9P1PUI1,251,251,0.493773000000
A0ABM9S1Y8,252,252,0.493220000000
A0AAD2Z2V4,253,253,0.492962000000
A0AAD2Z484,254,254,0.489587000000
A0ABM9SIR4,255,255,0.489487000000
A0A9P1PVU6,256,256,0.489471000000
