accession,frozen_rank,top1_frequency,top5_frequency,top10_frequency,top50_frequency
Q9T0Z9,1,1.000000,1.000000,1.000000,1.000000
A0A7U4GHF9,2,0.000000,1.000000,1.000000,1.000000
I7K2S1,3,0.000000,1.000000,1.000000,1.000000
A0A1V0DXW2,4,0.000000,0.999800,1.000000,1.000000
A0AAD2UYA7,5,0.000000,0.542200,0.856900,1.000000
S5MLA1,6,0.000000,0.408600,0.983400,1.000000
A0A0G2PMU5,7,0.000000,0.000200,0.978400,1.000000
B3VCL5,8,0.000000,0.005800,0.992700,1.000000
Q858J8,9,0.000000,0.043400,0.966300,1.000000
A0AAE7V5N4,10,0.000000,0.000000,0.822500,1.000000
A0A6M3G9R6,11,0.000000,0.000000,0.241100,1.000000
A0A0P0LE96,12,0.000000,0.000000,0.023800,1.000000
A0A0H3NKM1,13,0.000000,0.000000,0.064100,1.000000
A0A0U2DXE3,14,0.000000,0.000000,0.000000,1.000000
S5M3B5,15,0.000000,0.000000,0.000000,1.000000
A0A7U4GE98,16,0.000000,0.000000,0.070700,1.000000
A0AAE9FSZ1,17,0.000000,0.000000,0.000000,1.000000
A0AAE9FUR5,18,0.000000,0.000000,0.000000,1.000000
A0AAT9S6U3,19,0.000000,0.000000,0.000000,1.000000
A0AAX4Q2K6,20,0.000000,0.000000,0.000000,1.000000
A0A449C531,21,0.000000,0.000000,0.000000,1.000000
A0AAE7S353,22,0.000000,0.000000,0.000000,1.000000
A0A9P1PWH0,23,0.000000,0.000000,0.000100,1.000000
Q858U5,24,0.000000,0.000000,0.000000,1.000000
A0A7U4JZS3,25,0.000000,0.000000,0.000000,1.000000
I7LHK5,26,0.000000,0.000000,0.000000,1.000000
A0A0H3NZ47,27,0.000000,0.000000,0.000000,1.000000
A0A449C3Z7,28,0.000000,0.000000,0.000000,1.000000
I7K3G3,29,0.000000,0.000000,0.000000,1.000000
A0A449C5Q6,30,0.000000,0.000000,0.000000,1.000000
I6Q9A1,31,0.000000,0.000000,0.000000,1.000000
A0A7D3UKK9,32,0.000000,0.000000,0.000000,1.000000
A0A449C440,33,0.000000,0.000000,0.000000,1.000000
F4N2J8,34,0.000000,0.000000,0.000000,1.000000
A0A449C5Z2,35,0.000000,0.000000,0.000000,1.000000
F4N729,36,0.000000,0.000000,0.000000,1.000000
S5ML14,37,0.000000,0.000000,0.000000,1.000000
I7LHJ5,38,0.000000,0.000000,0.000000,1.000000
A0A449C555,39,0.000000,0.000000,0.000000,1.000000
A0AAE9FQ76,40,0.000000,0.000000,0.000000,1.000000
A0A1V0DXT2,41,0.000000,0.000000,0.000000,1.000000
I7K324,42,0.000000,0.000000,0.000000,1.000000
A0A0G2PMY8,43,0.000000,0.000000,0.000000,1.000000
A0A088F649,44,0.000000,0.000000,0.000000,1.000000
S5M9F2,45,0.000000,0.000000,0.000000,1.000000
A0AAE7CTI2,46,0.000000,0.000000,0.000000,1.000000
A0A0B4ZXE3,47,0.000000,0.000000,0.000000,1.000000
A0A0H3NZ57,48,0.000000,0.000000,0.000000,1.000000
S5MRA5,49,0.000000,0.000000,0.000000,1.000000
A0A0B5A4Q9,50,0.000000,0.000000,0.000000,1.000000
