accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.874152000000
A0A7U4GHF9,2,2,0.620636375000
I7K2S1,3,3,0.613725000000
S5MLA1,6,4,0.612829875000
A0A7U4GE98,16,5,0.611295187500
A0AAE7V5N4,10,6,0.605886687500
A0AAD2UYA7,5,7,0.604893000000
A0A1V0DXW2,4,8,0.603968875000
A0A0G2PMU5,7,9,0.600492187500
B3VCL5,8,10,0.599280437500
A0A0H3NKM1,13,11,0.598306875000
S5M3B5,15,12,0.595075500000
A0A6M3G9R6,11,13,0.595043000000
A0AAE9FSZ1,17,14,0.594952937500
Q858J8,9,15,0.594905562500
A0A0P0LE96,12,16,0.592170625000
A0A0U2DXE3,14,17,0.588126437500
F4N2J8,34,18,0.587278562500
A0A449C531,21,19,0.584163062500
A0AAE9FUR5,18,20,0.583560875000
A0AAT9S6U3,19,21,0.581813312500
A0A0G2PMY8,43,22,0.578968062500
A0AAX4Q2K6,20,23,0.577498375000
Q858U5,24,24,0.576273875000
A0A449C5Q6,30,25,0.574910562500
A0A449C3Z7,28,26,0.574144687500
A0A1V0DXT2,41,27,0.573392375000
A0A9P1PWH0,23,28,0.573220750000
A0A7U4JZS3,25,29,0.573056875000
A0A7D3UKK9,32,30,0.572276312500
I7K324,42,31,0.572237000000
A0A0H3NZ47,27,32,0.572127187500
I7K3G3,29,33,0.570490562500
S5ML14,37,34,0.569861937500
A0AAE7S353,22,35,0.568950750000
A0A0B4ZXE3,47,36,0.567643750000
I7LHK5,26,37,0.566097625000
A0AAE7CTI2,46,38,0.565342937500
S5MRA5,49,39,0.565002437500
A0A449C5Z2,35,40,0.562274062500
A0A449C440,33,41,0.561883250000
I6Q9A1,31,42,0.561391687500
A0A0H3NZ57,48,43,0.559513375000
F4N729,36,44,0.559073750000
A0AAE9FQ76,40,45,0.558564187500
I7LHJ5,38,46,0.558344375000
A0A449C555,39,47,0.557827187500
A0A0B5A4Q9,50,48,0.554857437500
S5M9F2,45,49,0.553669625000
A0A088F649,44,50,0.552583750000
