source_accession,pair_id,candidate_record_id,ligand_id,ordinary_candidate_policy,forced_rank_status,hard_coded_priority_status,gold_standard_bonus_status,best_affinity_kcal_mol,broad_vina_rank,broad_vina_score,broad_vina_percentile,receptor_pdbqt_path,output_pose_path,log_path,pose_file_status,receptor_file_status,ligand_parse_status,receptor_parse_status,pose_count,top_pose_model_index,top_pose_parse_source,ligand_atom_count,receptor_atom_count,contact_cutoff_angstrom,close_contact_cutoff_angstrom,clash_cutoff_angstrom,contact_pair_count,close_contact_pair_count,clash_pair_count,polar_contact_pair_count,contact_residue_count,receptor_contact_atom_count,ligand_contact_atom_count,min_ligand_receptor_distance_angstrom,pose_contact_QC_status,manual_review_required,review_reason,pose_contact_QC_feature_source_type,pose_contact_QC_score_status
A0A088F649,A0A088F649__V52_B0_e0dac016b3932c71cc57__compound5,V52_B0_e0dac016b3932c71cc57,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.125,177,0.615747,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A088F649__V52_B0_e0dac016b3932c71cc57.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_2_segmented_vina_docking_pilot5/vina_runs/A0A088F649/A0A088F649.v5_4_8h_2.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_2_segmented_vina_docking_pilot5/vina_runs/A0A088F649/A0A088F649.v5_4_8h_2.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6113,4.0,3.5,2.0,199,106,4,119,17,63,41,1.146,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0B4ZXE3,A0A0B4ZXE3__V52_B0_560a733be97173df0a7f__compound5,V52_B0_560a733be97173df0a7f,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.615,66,0.716219,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0B4ZXE3__V52_B0_560a733be97173df0a7f.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_3_segmented_vina_docking_segment20/vina_runs/A0A0B4ZXE3/A0A0B4ZXE3.v5_4_8h_3.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_3_segmented_vina_docking_segment20/vina_runs/A0A0B4ZXE3/A0A0B4ZXE3.v5_4_8h_3.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5765,4.0,3.5,2.0,140,56,1,79,19,51,45,1.979,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0B5A4Q9,A0A0B5A4Q9__V52_B0_e182309b668540adee8d__compound5,V52_B0_e182309b668540adee8d,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.186,156,0.628255,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0B5A4Q9__V52_B0_e182309b668540adee8d.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_3_segmented_vina_docking_segment20/vina_runs/A0A0B5A4Q9/A0A0B5A4Q9.v5_4_8h_3.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_3_segmented_vina_docking_segment20/vina_runs/A0A0B5A4Q9/A0A0B5A4Q9.v5_4_8h_3.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,1721,4.0,3.5,2.0,209,97,6,127,16,76,42,1.244,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0G2PMU5,A0A0G2PMU5__V52_B0_7a865e2670aac9d91e66__compound5,V52_B0_7a865e2670aac9d91e66,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.663,56,0.726061,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0G2PMU5__V52_B0_7a865e2670aac9d91e66.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0G2PMU5/A0A0G2PMU5.v5_4_8h_4.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0G2PMU5/A0A0G2PMU5.v5_4_8h_4.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,4298,4.0,3.5,2.0,209,94,1,136,16,60,50,1.997,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0G2PMY8,A0A0G2PMY8__V52_B0_a1cd974de2f5316f4c94__compound5,V52_B0_a1cd974de2f5316f4c94,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.262,134,0.643838,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0G2PMY8__V52_B0_a1cd974de2f5316f4c94.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0G2PMY8/A0A0G2PMY8.v5_4_8h_4.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0G2PMY8/A0A0G2PMY8.v5_4_8h_4.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,2774,4.0,3.5,2.0,166,72,1,107,14,55,42,1.951,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0H3NKM1,A0A0H3NKM1__V52_B0_402c2ed5738bec275248__compound5,V52_B0_402c2ed5738bec275248,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.793,41,0.752717,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0H3NKM1__V52_B0_402c2ed5738bec275248.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NKM1/A0A0H3NKM1.v5_4_8h_4.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NKM1/A0A0H3NKM1.v5_4_8h_4.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3651,4.0,3.5,2.0,164,78,1,100,16,55,45,1.987,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0H3NZ47,A0A0H3NZ47__V52_B0_3eceb6098cd2f789468c__compound5,V52_B0_3eceb6098cd2f789468c,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.011,214,0.592372,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0H3NZ47__V52_B0_3eceb6098cd2f789468c.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NZ47/A0A0H3NZ47.v5_4_8h_4.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NZ47/A0A0H3NZ47.v5_4_8h_4.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,3659,4.0,3.5,2.0,209,96,1,127,13,61,44,1.725,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0H3NZ57,A0A0H3NZ57__V52_B0_01c8e8853dc65d3bd72b__compound5,V52_B0_01c8e8853dc65d3bd72b,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.001,221,0.590322,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0H3NZ57__V52_B0_01c8e8853dc65d3bd72b.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NZ57/A0A0H3NZ57.v5_4_8h_4.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_4_segmented_vina_docking_segment/vina_runs/A0A0H3NZ57/A0A0H3NZ57.v5_4_8h_4.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,4045,4.0,3.5,2.0,191,80,2,101,13,62,50,1.785,PASS_REVIEW_REQUIRED,true,clash_pairs_present;unusually_low_min_distance,computed_from_existing_vina_output,NOT_COMPUTED
A0A0P0LE96,A0A0P0LE96__V52_B0_4789944fd54cabfb50cc__compound5,V52_B0_4789944fd54cabfb50cc,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.726,49,0.738979,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0P0LE96__V52_B0_4789944fd54cabfb50cc.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A0P0LE96/A0A0P0LE96.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A0P0LE96/A0A0P0LE96.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,6125,4.0,3.5,2.0,192,90,0,114,19,66,53,2.157,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
A0A0U2DXE3,A0A0U2DXE3__V52_B0_62a79aa83a1d1500ad93__compound5,V52_B0_62a79aa83a1d1500ad93,yersinia_o3_6dalt_pentasaccharide_5,ordinary_candidate,not_forced,not_hard_coded,no_gold_standard_bonus,-7.52,87,0.696740,,data/derived/YRBP_branch_runs/v5_4_8f_receptor_pdbqt_preparation/receptors_pdbqt/A0A0U2DXE3__V52_B0_62a79aa83a1d1500ad93.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A0U2DXE3/A0A0U2DXE3.v5_4_8h_5.vina_out.pdbqt,data/derived/YRBP_branch_runs/v5_4_8h_5_launcher_global_progress/vina_runs/A0A0U2DXE3/A0A0U2DXE3.v5_4_8h_5.vina.combined.log,PASS,PASS,PASS,PASS,10,1,MODEL_1,63,5139,4.0,3.5,2.0,204,98,0,122,19,71,47,2.011,PASS,false,none,computed_from_existing_vina_output,NOT_COMPUTED
