accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.787209200000
A0AAX4Q2K6,20,2,0.586956600000
A0AAE7S353,22,3,0.586098600000
F4N729,36,4,0.585483600000
I7LHJ5,38,5,0.584931600000
A0A449C555,39,6,0.583734600000
Q858J8,9,7,0.583602000000
A0AAT9S6U3,19,8,0.583360200000
I6Q9A1,31,9,0.582258000000
A0A088F649,44,10,0.581250000000
A0A1V0DXW2,4,11,0.580722600000
A0A0U2DXE3,14,12,0.580054800000
A0A449C440,33,13,0.578646000000
A0AAE9FUR5,18,14,0.578097000000
A0A0P0LE96,12,15,0.577865400000
I7LHK5,26,16,0.575830800000
S5M9F2,45,17,0.574999800000
A0AAE9FQ76,40,18,0.574934400000
A0A449C5Z2,35,19,0.573437400000
A0A6M3G9R6,11,20,0.571686600000
B3VCL5,8,21,0.567574800000
A0A0G2PMU5,7,22,0.563361600000
A0A9P1PWH0,23,23,0.560162400000
A0A7U4GHF9,2,24,0.557360400000
A0A0B5A4Q9,50,25,0.557142600000
I7K2S1,3,26,0.556146600000
A0AAD2UYA7,5,27,0.554676000000
I7K3G3,29,28,0.553587600000
A0A7U4JZS3,25,29,0.549999600000
S5M3B5,15,30,0.549051600000
A0A0H3NZ47,27,31,0.548196000000
A0A0H3NZ57,48,32,0.547674600000
A0A0H3NKM1,13,33,0.547286400000
A0AAE9FSZ1,17,34,0.547286400000
S5ML14,37,35,0.539772600000
A0A449C3Z7,28,36,0.539082600000
A0A7D3UKK9,32,37,0.538372200000
Q858U5,24,38,0.538372200000
A0A449C531,21,39,0.537500400000
A0AAE7V5N4,10,40,0.536434200000
A0A449C5Q6,30,41,0.530769000000
A0AAE7CTI2,46,42,0.527143200000
S5MRA5,49,43,0.522306000000
S5MLA1,6,44,0.519100800000
A0A0B4ZXE3,47,45,0.515872200000
I7K324,42,46,0.515872200000
A0A1V0DXT2,41,47,0.513461400000
A0A0G2PMY8,43,48,0.485265000000
A0A7U4GE98,16,49,0.482278800000
F4N2J8,34,50,0.474193800000
