G_pro1_rank,accession,G_pre1_rank,G_pre1_score,deployment_readiness_score,C_verified_status_score,domain_architecture_similarity,receptor_binding_region_similarity,structure_similarity,physicochemical_similarity,target_context_or_docking_similarity,C_verified_anchor_similarity_score,C_verified_score,G_pro1_score,wet_lab_status,evidence_registry_status,sequence_recovered,similarity_confidence,deployment_readiness_confidence,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,candidate_policy
1,Q9T0Z9,1,0.856763,0.821473,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.896205,verified_positive,registered_7_C_verified_rows,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
2,A0AAX4Q2K6,20,0.579390,0.961304,0.500000,,0.600664,1.000000,0.921571,0.770179,0.816539,0.594962,0.622253,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,medium,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
3,A0A0P0LE96,12,0.589310,0.795244,0.500000,1.000000,0.570218,1.000000,0.995344,0.679521,0.849249,0.604775,0.614543,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
4,A0A0U2DXE3,14,0.586512,0.816703,0.500000,1.000000,0.512581,1.000000,0.987377,0.713740,0.843371,0.603011,0.614481,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
5,A0AAD2UYA7,5,0.594850,0.939784,0.500000,0.000000,0.444430,1.000000,0.923034,0.761422,0.579625,0.523888,0.608055,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
6,A0AAT9S6U3,19,0.582123,0.778907,0.500000,1.000000,0.520255,1.000000,0.989496,0.678179,0.838111,0.601433,0.607594,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
7,I7K2S1,3,0.602209,0.900764,0.500000,0.000000,0.469937,1.000000,0.935142,0.607234,0.555705,0.516712,0.606415,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
8,A0A7U4GHF9,2,0.607981,0.851574,0.500000,0.000000,0.398404,1.000000,0.956760,0.673336,0.557862,0.517359,0.605154,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
9,A0A7D3UKK9,32,0.565495,0.858915,0.500000,,0.673117,1.000000,0.949777,0.717465,0.827444,0.598233,0.604658,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,medium,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
10,A0A0H3NKM1,13,0.588103,0.884858,0.500000,0.000000,0.726958,1.000000,0.957234,0.697853,0.628547,0.538564,0.602917,not_tested,no_direct_wetlab_evidence_anchor_similarity_only,true,high,medium,not_forced,not_hard_coded,none,no_gold_standard_bonus,ordinary_candidate
