accession,frozen_rank,rank,score
A0A9P1PWH0,23,1,0.910451000000
A0A0T9PR46,310,2,0.867160000000
A0A7T9XU25,111,3,0.818591000000
A0A857F0P1,314,4,0.810493000000
S5MLA1,6,5,0.800758000000
I7K2S1,3,6,0.800510000000
A0A0T9RET2,328,7,0.783134000000
A0AB73QMA1,316,8,0.780628000000
A0AAE7V5N4,10,9,0.775470000000
A0AAD2UWV2,103,10,0.772932000000
A0A0H3B5E1,325,11,0.772132000000
A0A1V0DXW2,4,12,0.767408000000
B3VCL5,8,13,0.760320000000
A0A0H5LRI9,318,14,0.758769000000
A0A0T9Q3J3,322,15,0.754867000000
A0A0T9PX62,323,16,0.754823000000
A0A0T9UVK0,336,17,0.752142000000
S5M3B5,15,18,0.749761000000
Q858J8,9,19,0.742452000000
A0A0T9KM81,337,20,0.739263000000
A0ABX5QXK4,327,21,0.738374000000
A0A0T9QCI9,326,22,0.737228000000
A0A0P0LE96,12,23,0.736607000000
A0A7U4GG50,160,24,0.735079000000
A0AAE9FSZ1,17,25,0.733114000000
A0A6M3G9R6,11,26,0.731735000000
A0AAW7K9U6,324,27,0.729823000000
A0AAV3BI89,331,28,0.727043000000
A0ABM9SSL7,332,29,0.721213000000
A0ABM9Y807,330,30,0.720977000000
A0A7U4GCC7,150,31,0.720667000000
A0A0U2DXE3,14,32,0.715794000000
F4N708,177,33,0.712448000000
A0A0H3B6N5,334,34,0.711230000000
A0A449C531,21,35,0.710196000000
A0A7U4GHF9,2,36,0.703851000000
A0A0T9LS41,350,37,0.703647000000
A0A0E1NTH1,340,38,0.698553000000
A0AA36LLT8,335,39,0.698308000000
A0ABY5UJG2,359,40,0.698001000000
A0AB73Q5K2,384,41,0.695520000000
A0AB72ZKZ2,342,42,0.695276000000
A0AAT9S6U3,19,43,0.694547000000
A0AAV3B8C2,414,44,0.694375000000
A0AA36LPU1,349,45,0.694276000000
A0ABM9Y805,338,46,0.691492000000
A0A0G2PMU5,7,47,0.691313000000
A0AAE9FUR5,18,48,0.688530000000
A1JNF1,135,49,0.688100000000
A0A2G4U2G2,354,50,0.688035000000
A0ABW9EXB2,341,51,0.686447000000
A0ABP2EH72,347,52,0.684403000000
A0A0A8VDN9,402,53,0.680515000000
A0A380PNY7,364,54,0.680169000000
A0A0H3NKM1,13,55,0.679993000000
A0ABM9TCZ7,333,56,0.674590000000
A0ABM6UUX5,346,57,0.674446000000
A0AA36LNC6,361,58,0.673589000000
I7K324,42,59,0.672626000000
A0A0H3B3D7,363,60,0.672094000000
A0ABM7AH44,357,61,0.670395000000
A0A1V0DXT2,41,62,0.668439000000
A0A9P1PUV5,193,63,0.666464000000
A0ABX5R0V5,409,64,0.665596000000
A0A0A8VKM3,348,65,0.665447000000
A0AB73PI84,339,66,0.665247000000
Q66BM0,344,67,0.664378000000
A0A380PNE2,366,68,0.662871000000
Q858U5,24,69,0.662412000000
A0A0T9KX64,343,70,0.662048000000
A0A085U317,379,71,0.661906000000
A0AAI8ZUU9,345,72,0.659245000000
I7K3G3,29,73,0.658974000000
A0A7U4GE98,16,74,0.658104000000
A0A0T9TRC6,362,75,0.657671000000
A0ABP1YEP8,199,76,0.657029000000
A0A0H3B1B9,395,77,0.656182000000
A0AAX4Q2K6,20,78,0.656130000000
S5ML14,37,79,0.655128000000
A0A380PQB1,358,80,0.655089000000
A0A0B4ZXE3,47,81,0.654988000000
A0ABM9TCS0,368,82,0.654429000000
A0A449C5Q6,30,83,0.654370000000
A0ABN4CNM4,419,84,0.654309000000
A0A380QTF7,378,85,0.654228000000
A0A0H3B6E3,351,86,0.654215000000
A0A7U4GDH6,165,87,0.653853000000
A0A0T9QV26,388,88,0.653382000000
A0A0H3B678,392,89,0.651952000000
A0A085U5Z0,370,90,0.651930000000
A0A7D3UKK9,32,91,0.650983000000
A0ABP1YI01,195,92,0.650978000000
A0A208ZSG0,376,93,0.648538000000
A0AAE7S353,22,94,0.647325000000
A0A0U1R2N4,386,95,0.646666000000
A1JK73,207,96,0.646304000000
A0A449C3Z7,28,97,0.645659000000
A0A0T9QDU9,372,98,0.645276000000
A0A0T9MSU1,410,99,0.644849000000
A0A0T9MH64,353,100,0.641782000000
A0ABR4W9H6,381,101,0.640321000000
A0A0H5M9D5,369,102,0.639745000000
A0ABM9TDA6,367,103,0.639444000000
A0ABM6UP52,365,104,0.639201000000
A0AA90Y526,377,105,0.638261000000
A0A2U2GXH7,380,106,0.637904000000
A0AA44CIX0,443,107,0.636511000000
A0A0T9UHA7,385,108,0.635519000000
A0A0T9QEA5,442,109,0.635519000000
A0A209A9L1,397,110,0.634402000000
A0A1V0DXR7,55,111,0.633478000000
A0ABP1XZ23,216,112,0.633123000000
A0A7U4GDF9,187,113,0.632572000000
A0ABW9EYQ1,374,114,0.632430000000
A0AAD2UYA7,5,115,0.630693000000
A0AB72ZMY1,352,116,0.630373000000
A0ABX5R0C5,355,117,0.629936000000
A0AB73QHN9,412,118,0.628748000000
A0ABM9XUV6,389,119,0.628063000000
A0AAV3B8C3,371,120,0.627578000000
A0A7T9XT11,224,121,0.627214000000
A0ABX5QYD3,532,122,0.623679000000
A0ABM9XWV8,356,123,0.621046000000
I7LHK5,26,124,0.620485000000
A0A0H5MHG7,404,125,0.620466000000
A0A449C3U4,52,126,0.620390000000
A0AAX4Q2X2,80,127,0.619647000000
A0A208ZSG3,429,128,0.619207000000
A0A0H5GK99,241,129,0.618844000000
A0AAX2I043,375,130,0.618604000000
A0A0H3B4K0,360,131,0.618493000000
A0A2G4TYK3,400,132,0.618293000000
Q666T9,441,133,0.617741000000
A0AB73NKW1,413,134,0.617119000000
A0AB73Q656,396,135,0.616995000000
S5MRA5,49,136,0.616534000000
I6Q9A1,31,137,0.615417000000
A0AA90XZS1,394,138,0.614904000000
A0A9P1UYK8,218,139,0.614394000000
A0ABW9ETP4,433,140,0.614272000000
A0A7U4GE85,221,141,0.613080000000
A0ABP1YH51,235,142,0.610509000000
A0AAE7CTI2,46,143,0.609872000000
A0AA44CPT5,431,144,0.609861000000
A0AB73QFS4,426,145,0.609561000000
F4N731,249,146,0.608371000000
A0AB73PZQ4,447,147,0.608026000000
A0ABM6UW81,408,148,0.607861000000
A0A0U1QVC6,393,149,0.607230000000
A0ABP1Z8F7,411,150,0.607170000000
A0ABR4W5R8,401,151,0.605638000000
A0A9P1PT53,228,152,0.605372000000
A0ABM6BHQ6,391,153,0.604540000000
A0AB72ZDV0,382,154,0.603394000000
A0AA36PIC1,406,155,0.602759000000
A0A0G2PMY8,43,156,0.602200000000
A0A0T9KLV1,432,157,0.599778000000
A0A0T9PYB4,390,158,0.598245000000
A0AB73PP81,415,159,0.598152000000
A0A449C5Z2,35,160,0.597864000000
A0AAX2I0L3,405,161,0.597682000000
A0ABP1YWJ1,478,162,0.597677000000
A0ABP1YSK3,448,163,0.597512000000
A0AA44I1R7,423,164,0.596977000000
A0ABR4VY47,445,165,0.596919000000
A0ABM5U8M7,418,166,0.596143000000
A0A449C440,33,167,0.596016000000
A0ABP1ZEA7,526,168,0.595658000000
A0ABM6UUN8,438,169,0.595185000000
A0ABP1YG46,231,170,0.595138000000
A0AB72ZL33,399,171,0.594582000000
A0A0E1NX19,471,172,0.593830000000
A0AAE7PDX0,64,173,0.593690000000
A0A0E1NNL7,434,174,0.593679000000
A0AAE9FQ76,40,175,0.593538000000
A0A6M3GA49,70,176,0.593456000000
A0AAV3BAT5,407,177,0.590720000000
A0A2C9CXH4,65,178,0.588406000000
A0A449C555,39,179,0.588023000000
A0AAD2Z2V4,253,180,0.587744000000
A0A208ZSF8,567,181,0.587625000000
A0AAX4Q199,53,182,0.587491000000
A0ABM5U8N2,463,183,0.587342000000
Q666U1,503,184,0.586300000000
A0ABM9TGR4,451,185,0.585990000000
A0ABM9SIR4,255,186,0.584998000000
A0A380PNA2,422,187,0.584195000000
A0A449C5C7,76,188,0.584029000000
A1JNA9,226,189,0.583928000000
A0ABN4PWA2,466,190,0.583892000000
A0AAI8ZVG7,403,191,0.582802000000
A0A088F649,44,192,0.582799000000
A0ABR4VWS1,383,193,0.581854000000
A0ABM9S2F3,238,194,0.581580000000
A0A0T9RKA1,461,195,0.581037000000
A0A7D3UH03,66,196,0.580893000000
A0A380PP39,460,197,0.580634000000
A0A085U7Z9,428,198,0.580397000000
A0A380PNP9,387,199,0.579336000000
A0ABM9S2J3,239,200,0.578918000000
A0A0T9UMM8,476,201,0.578914000000
A0A0T9PR09,575,202,0.578840000000
A0A0H3NZ47,27,203,0.578618000000
I7LH81,77,204,0.577857000000
A0A857F2M2,539,205,0.577720000000
A0A2G4U293,439,206,0.577352000000
A0ABM9STX9,436,207,0.577160000000
I7LHJ5,38,208,0.576792000000
A0ABM5UHV5,398,209,0.576785000000
A0ZXG5,60,210,0.576765000000
A0A0U1QWC7,435,211,0.576700000000
A0AAE9JYJ2,57,212,0.576148000000
A0A0T9KYN4,494,213,0.576092000000
A0AAE9JVZ5,75,214,0.575586000000
A0ABW9EWX0,464,215,0.575437000000
I7J474,58,216,0.574926000000
A0ABR4W4S9,548,217,0.574576000000
A0A7D3V1W8,98,218,0.574569000000
A0A0B5A4Q9,50,219,0.574392000000
A0ABM9TGV0,430,220,0.574029000000
A0A0T9KXM0,563,221,0.573212000000
S5M9F2,45,222,0.572817000000
A0ABM7ALJ4,474,223,0.572107000000
A0ABM9SIE6,219,224,0.572095000000
A0A857EWT6,525,225,0.571841000000
A0ABX6FH78,421,226,0.571655000000
Q66CW5,469,227,0.571063000000
A0AB73P4D7,489,228,0.569897000000
A0A0A8VIE2,477,229,0.569018000000
A0ABM6BJY1,587,230,0.567026000000
A0A0T9RQ76,420,231,0.566947000000
F4N2J8,34,232,0.566419000000
A0AAE7V728,107,233,0.566342000000
A0A380QTH7,437,234,0.566326000000
A0AAW7K6S3,491,235,0.566313000000
A0ABN4PV81,473,236,0.566091000000
A0ABM7AGN3,417,237,0.565245000000
A0A2H1UJ87,68,238,0.564400000000
A0AB72ZSW9,598,239,0.564027000000
A0AAW7JSQ1,449,240,0.563339000000
A0A0H3AWU3,479,241,0.563151000000
A0A0T9KKA0,468,242,0.562773000000
A0AAD2Z484,254,243,0.562707000000
A0A449C3Q1,117,244,0.562371000000
I7KR83,59,245,0.561025000000
A0A0U1HX05,593,246,0.560377000000
A0A0H2W1J5,446,247,0.560233000000
A0A857EWU7,475,248,0.560163000000
A0A380PUT3,427,249,0.559235000000
Q9T0Z9,1,250,0.558871000000
A0AAE9FRM6,63,251,0.558352000000
A0A0H5HBD5,237,252,0.558221000000
A0ABM6UX29,522,253,0.558066000000
A0ABM5UH14,467,254,0.557220000000
A0AA51VH76,67,255,0.556879000000
A0AA90XTP7,480,256,0.556182000000
A0AA44CIM3,455,257,0.555270000000
A0ABM7ANK9,444,258,0.554732000000
A0A0T9LN66,416,259,0.553913000000
A0A0H2YKF3,454,260,0.553397000000
A0A0H3B6E0,462,261,0.552491000000
A0AA36LQN9,487,262,0.551918000000
A0A449C435,61,263,0.551367000000
A0ABP1ZGZ5,453,264,0.551241000000
A0ABM5SR09,440,265,0.551076000000
A0ABN4FAB0,528,266,0.550625000000
A0A3B8DLH1,51,267,0.550587000000
A0AA36PL17,573,268,0.549890000000
A0A380PPA0,582,269,0.548123000000
A0ABM7ANU6,504,270,0.548119000000
A0ABX6F8L7,584,271,0.548076000000
A0A1V0DXD5,71,272,0.547387000000
A0A0H3NZ57,48,273,0.547353000000
A0AAD2V1D7,263,274,0.547189000000
A0AA36LIH7,562,275,0.547020000000
A0A0T9LN06,493,276,0.546220000000
A0ABR4W6F7,515,277,0.545910000000
A0AAX4Q2U9,102,278,0.545794000000
A0ABP1ZLC4,546,279,0.545759000000
A0ABY5UX71,425,280,0.545446000000
A0A380Q7B5,498,281,0.544987000000
A0A0U1QX07,497,282,0.544929000000
A0ABM5U8P4,485,283,0.544808000000
A0AA44CKU4,517,284,0.543904000000
A0AAV3BFB4,505,285,0.543524000000
A0A6M3GA37,54,286,0.542854000000
A0ABM6UP56,501,287,0.542265000000
A0AAW7JU40,484,288,0.541736000000
A0AA36LM82,458,289,0.541345000000
A0ABY5UV58,452,290,0.540360000000
A0ABM9YBE2,450,291,0.540355000000
S5MRE6,84,292,0.539995000000
A0ABW9EXU6,518,293,0.539831000000
A0ABM5U8N9,549,294,0.538961000000
A0ABP2DZT0,424,295,0.538616000000
Q66CW9,510,296,0.538135000000
A0ABW9EY82,608,297,0.538035000000
A0A7U4GDF4,260,298,0.537965000000
A0AAE7PDK2,73,299,0.537933000000
A0A2D0PE70,81,300,0.537762000000
A0A7D3QML5,129,301,0.537688000000
A0AA86IWK5,86,302,0.537485000000
A0AA90XYJ4,611,303,0.537412000000
A0ABP1Y7W3,465,304,0.536907000000
A0A0H5H8V4,248,305,0.536686000000
A0A0T9LN23,500,306,0.536193000000
A0A6M3G969,79,307,0.535922000000
F2Q846,267,308,0.535666000000
A0ABX6F3U1,551,309,0.534552000000
Q66BC8,456,310,0.533598000000
A0ABW9ETP1,616,311,0.533406000000
A0ABR4W522,488,312,0.533190000000
A0A449C528,69,313,0.532506000000
A0ABX6FD19,524,314,0.532413000000
A0A380Q9X7,490,315,0.532238000000
A0A0H3NU58,82,316,0.531443000000
A0AB73NQS2,533,317,0.531423000000
A0A449C4D0,97,318,0.531422000000
A0A0H3AYM7,513,319,0.531274000000
A0A380Q9K9,629,320,0.529520000000
A0A7D3QJ92,136,321,0.528942000000
