rank_version,source_accession,pair_id,candidate_record_id,ordinary_candidate_policy,forced_rank_status,hard_coded_priority_status,manual_override_status,gold_standard_bonus_status,Q9T0Z9_prior_E6_evidence_status,G_pre1_target_engineering_composite_rank,G_pre1_target_engineering_composite_score,target_context_score,target_organism_score,target_organism_class,phage_origin_score,phage_origin_class,target_origin_manual_review_required,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score,E7_unlocked_score,E7_unlocked_rank,E6_total_score,source_organism,target_organism,phage_host,product_annotation,ranking_status,old_G_pre1_status,G_pre2_status,E6_status,E7_status,tie_breaker_order
v5.4.8z2,Q9T0Z9,Q9T0Z9__V52_B0_4258e8231588fe960a0e__compound5,V52_B0_4258e8231588fe960a0e,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,provenance_only,1,0.856763,1.000000,1.000000,Yersinia_enterocolitica_O3_or_YeO3,1.000000,Yersinia_enterocolitica_O3_phage_or_phiYeO3_12_like,false,0.558871,0.787209,0.978682,0.500000,0.500000,0.750948,0.750948,679,0.750948,Yersinia phage phiYeO3-12,Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,A0A7U4GHF9,A0A7U4GHF9__V52_B0_fbf3d9e4a576d70660eb__compound5,V52_B0_fbf3d9e4a576d70660eb,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,2,0.607981,0.575000,0.750000,Yersinia_enterocolitica_non_O3_or_unknown_serotype,0.400000,Yersinia_enterocolitica_bacterial_genome_phage_like,true,0.703851,0.557360,0.928934,0.000000,0.000000,0.789778,0.789778,361,0.789778,Yersinia enterocolitica LC20,Yersinia,Yersinia,Baseplate protein J-like barrel domain-containing protein,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,I7K2S1,I7K2S1__V52_B0_a1449c6f756547d68d82__compound5,V52_B0_a1449c6f756547d68d82,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,3,0.602209,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.800510,0.556147,0.926911,0.000000,0.000000,0.842560,0.842560,10,0.842560,Yersinia phage phiR2-01,Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,A0A1V0DXW2,A0A1V0DXW2__V52_B0_edf056290b2bd93ce630__compound5,V52_B0_edf056290b2bd93ce630,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,4,0.599320,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.767408,0.580723,0.967871,0.000000,0.000000,0.818870,0.818870,87,0.818870,Yersinia phage fHe-Yen9-01,Yersinia,Yersinia,Baseplate hub assembly protein,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,A0AAD2UYA7,A0AAD2UYA7__V52_B0_992f5c237d53c9817f63__compound5,V52_B0_992f5c237d53c9817f63,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,5,0.594850,0.575000,0.750000,Yersinia_enterocolitica_non_O3_or_unknown_serotype,0.400000,Yersinia_enterocolitica_bacterial_genome_phage_like,true,0.630693,0.554676,0.924460,0.000000,0.000000,0.830516,0.830516,36,0.830516,Yersinia enterocolitica,Yersinia,Yersinia,Tail fiber assembly protein,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,S5MLA1,S5MLA1__V52_B0_73247484443e8927b1d1__compound5,V52_B0_73247484443e8927b1d1,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,6,0.594084,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.800758,0.519101,0.865168,0.000000,0.000000,0.827246,0.827246,48,0.827246,Yersinia phage PST,Yersinia,Yersinia,Receptor-recognizing protein gp38,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,A0A0G2PMU5,A0A0G2PMU5__V52_B0_7a865e2670aac9d91e66__compound5,V52_B0_7a865e2670aac9d91e66,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,7,0.593066,0.550000,1.000000,Yersinia_enterocolitica_O3_or_YeO3,0.100000,other_unknown_non_phage_or_missing_origin,true,0.691313,0.563362,0.938936,0.000000,0.000000,0.792623,0.792623,331,0.792623,Yersinia enterocolitica subsp. palearctica serotype O:3 (strain DSM 13030 / CIP 106945 / Y11),Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,B3VCL5,B3VCL5__V52_B0_013acaaa5777bf04bd7f__compound5,V52_B0_013acaaa5777bf04bd7f,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,8,0.592939,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.760320,0.567575,0.945958,0.000000,0.000000,0.772207,0.772207,527,0.772207,Yersinia phage Yepe2,Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,Q858J8,Q858J8__V52_B0_d22506a9c7997355701e__compound5,V52_B0_d22506a9c7997355701e,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,9,0.592645,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.742452,0.583602,0.972670,0.000000,0.000000,0.773681,0.773681,516,0.773681,Yersinia phage phiA1122,Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
v5.4.8z2,A0AAE7V5N4,A0AAE7V5N4__V52_B0_16f147005e1596182f59__compound5,V52_B0_16f147005e1596182f59,ordinary_candidate,not_forced,not_hard_coded,none,no_gold_standard_bonus,not_Q9T0Z9,10,0.591996,0.525000,0.400000,other_or_genus_only_Yersinia,0.650000,Yersinia_phage_non_enterocolitica_or_unknown_host,true,0.775470,0.536434,0.894057,0.000000,0.000000,0.817307,0.817307,96,0.817307,Yersinia phage HQ103,Yersinia,Yersinia,,G_pre1_TARGET_ENGINEERING_COMPOSITE_GENERATED,read_only_unmodified,read_only_unmodified,read_only_unmodified,read_only_unmodified,composite_desc;target_context_desc;target_organism_desc;phage_origin_desc;docking_desc;solubility_no_chaperone_desc;E7_score_desc;source_accession_asc
