accession,frozen_rank,rank,score
A0A9P1PWH0,23,1,0.910451000000
S5MLA1,6,2,0.800758000000
I7K2S1,3,3,0.800510000000
A0AAE7V5N4,10,4,0.775470000000
A0A1V0DXW2,4,5,0.767408000000
B3VCL5,8,6,0.760320000000
S5M3B5,15,7,0.749761000000
Q858J8,9,8,0.742452000000
A0A0P0LE96,12,9,0.736607000000
A0AAE9FSZ1,17,10,0.733114000000
A0A6M3G9R6,11,11,0.731735000000
A0A0U2DXE3,14,12,0.715794000000
A0A449C531,21,13,0.710196000000
A0A7U4GHF9,2,14,0.703851000000
A0AAT9S6U3,19,15,0.694547000000
A0A0G2PMU5,7,16,0.691313000000
A0AAE9FUR5,18,17,0.688530000000
A0A0H3NKM1,13,18,0.679993000000
I7K324,42,19,0.672626000000
A0A1V0DXT2,41,20,0.668439000000
Q858U5,24,21,0.662412000000
I7K3G3,29,22,0.658974000000
A0A7U4GE98,16,23,0.658104000000
A0AAX4Q2K6,20,24,0.656130000000
S5ML14,37,25,0.655128000000
A0A0B4ZXE3,47,26,0.654988000000
A0A449C5Q6,30,27,0.654370000000
A0A7D3UKK9,32,28,0.650983000000
A0AAE7S353,22,29,0.647325000000
A0A449C3Z7,28,30,0.645659000000
A0AAD2UYA7,5,31,0.630693000000
I7LHK5,26,32,0.620485000000
S5MRA5,49,33,0.616534000000
I6Q9A1,31,34,0.615417000000
A0AAE7CTI2,46,35,0.609872000000
A0A0G2PMY8,43,36,0.602200000000
A0A449C5Z2,35,37,0.597864000000
A0A449C440,33,38,0.596016000000
A0AAE9FQ76,40,39,0.593538000000
A0A449C555,39,40,0.588023000000
A0A088F649,44,41,0.582799000000
A0A0H3NZ47,27,42,0.578618000000
I7LHJ5,38,43,0.576792000000
A0A0B5A4Q9,50,44,0.574392000000
S5M9F2,45,45,0.572817000000
F4N2J8,34,46,0.566419000000
Q9T0Z9,1,47,0.558871000000
A0A0H3NZ57,48,48,0.547353000000
A0A7U4JZS3,25,49,0.506754000000
F4N729,36,50,0.451909000000
