accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.856763400000
A0A7U4GHF9,2,2,0.607981100000
I7K2S1,3,3,0.602209400000
A0A1V0DXW2,4,4,0.599319700000
A0AAD2UYA7,5,5,0.594849600000
S5MLA1,6,6,0.594084100000
A0A0G2PMU5,7,7,0.593066150000
B3VCL5,8,8,0.592939350000
Q858J8,9,9,0.592644850000
A0AAE7V5N4,10,10,0.591996150000
A0A6M3G9R6,11,11,0.590371800000
A0A0P0LE96,12,12,0.589309500000
A0A0H3NKM1,13,13,0.588102700000
A0A0U2DXE3,14,14,0.586512150000
S5M3B5,15,15,0.585870800000
A0A7U4GE98,16,16,0.585491950000
A0AAE9FSZ1,17,17,0.585419550000
A0AAE9FUR5,18,18,0.582468100000
A0AAT9S6U3,19,19,0.582122650000
A0AAX4Q2K6,20,20,0.579390100000
A0A449C531,21,21,0.574830450000
A0AAE7S353,22,22,0.572380400000
A0A9P1PWH0,23,23,0.570609000000
Q858U5,24,24,0.568693500000
A0A7U4JZS3,25,25,0.568445500000
I7LHK5,26,26,0.568044300000
A0A0H3NZ47,27,27,0.567340950000
A0A449C3Z7,28,28,0.567132350000
I7K3G3,29,29,0.567110050000
A0A449C5Q6,30,30,0.566082250000
I6Q9A1,31,31,0.565564950000
A0A7D3UKK9,32,32,0.565495450000
A0A449C440,33,33,0.565235800000
F4N2J8,34,34,0.564661650000
A0A449C5Z2,35,35,0.564506650000
F4N729,36,36,0.564355800000
S5ML14,37,37,0.563844150000
I7LHJ5,38,38,0.563661900000
A0A449C555,39,39,0.563008750000
A0AAE9FQ76,40,40,0.561838150000
A0A1V0DXT2,41,41,0.561406100000
I7K324,42,42,0.560964000000
A0A0G2PMY8,43,43,0.560227450000
A0A088F649,44,44,0.558317000000
S5M9F2,45,45,0.557935700000
A0AAE7CTI2,46,46,0.557702950000
A0A0B4ZXE3,47,47,0.557289400000
A0A0H3NZ57,48,48,0.557145700000
S5MRA5,49,49,0.556463150000
A0A0B5A4Q9,50,50,0.555314550000
A0A3B8DLH1,51,51,0.555214250000
A0A449C3U4,52,52,0.555181900000
A0AAX4Q199,53,53,0.554484500000
A0A6M3GA37,54,54,0.554394000000
A0A1V0DXR7,55,55,0.554173250000
A0A0G2PMU8,56,56,0.553840200000
A0AAE9JYJ2,57,57,0.553769800000
I7J474,58,58,0.553753300000
I7KR83,59,59,0.553015450000
A0ZXG5,60,60,0.553007050000
A0A449C435,61,61,0.551841900000
A0A7U4K0B3,62,62,0.551361400000
A0AAE9FRM6,63,63,0.551334050000
A0AAE7PDX0,64,64,0.551201250000
A0A2C9CXH4,65,65,0.551017250000
A0A7D3UH03,66,66,0.550893400000
A0AA51VH76,67,67,0.550718750000
A0A2H1UJ87,68,68,0.550418550000
A0A449C528,69,69,0.550333450000
A0A6M3GA49,70,70,0.550266650000
A0A1V0DXD5,71,71,0.550246100000
A0A3B8DLJ2,72,72,0.550044300000
A0AAE7PDK2,73,73,0.549229200000
F4N728,74,74,0.549018800000
A0AAE9JVZ5,75,75,0.548762550000
