accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.856763000000
A0A7U4GHF9,2,2,0.607981000000
I7K2S1,3,3,0.602209000000
A0A1V0DXW2,4,4,0.599320000000
A0AAD2UYA7,5,5,0.594850000000
S5MLA1,6,6,0.594084000000
A0A0G2PMU5,7,7,0.593066000000
B3VCL5,8,8,0.592939000000
Q858J8,9,9,0.592645000000
A0AAE7V5N4,10,10,0.591996000000
A0A6M3G9R6,11,11,0.590372000000
A0A0P0LE96,12,12,0.589310000000
A0A0H3NKM1,13,13,0.588103000000
A0A0U2DXE3,14,14,0.586512000000
S5M3B5,15,15,0.585871000000
A0A7U4GE98,16,16,0.585492000000
A0AAE9FSZ1,17,17,0.585420000000
A0AAE9FUR5,18,18,0.582468000000
A0AAT9S6U3,19,19,0.582123000000
A0AAX4Q2K6,20,20,0.579390000000
A0A449C531,21,21,0.574831000000
A0AAE7S353,22,22,0.572380000000
A0A9P1PWH0,23,23,0.570609000000
Q858U5,24,24,0.568694000000
A0A7U4JZS3,25,25,0.568445000000
I7LHK5,26,26,0.568044000000
A0A0H3NZ47,27,27,0.567341000000
A0A449C3Z7,28,28,0.567132000000
I7K3G3,29,29,0.567110000000
A0A449C5Q6,30,30,0.566082000000
I6Q9A1,31,31,0.565565000000
A0A7D3UKK9,32,32,0.565495000000
A0A449C440,33,33,0.565236000000
F4N2J8,34,34,0.564662000000
A0A449C5Z2,35,35,0.564507000000
F4N729,36,36,0.564356000000
S5ML14,37,37,0.563844000000
I7LHJ5,38,38,0.563662000000
A0A449C555,39,39,0.563009000000
A0AAE9FQ76,40,40,0.561838000000
A0A1V0DXT2,41,41,0.561406000000
I7K324,42,42,0.560964000000
A0A0G2PMY8,43,43,0.560227000000
A0A088F649,44,44,0.558317000000
S5M9F2,45,45,0.557936000000
A0AAE7CTI2,46,46,0.557703000000
A0A0B4ZXE3,47,47,0.557289000000
A0A0H3NZ57,48,48,0.557146000000
S5MRA5,49,49,0.556463000000
A0A0B5A4Q9,50,50,0.555314000000
