accession,frozen,rounded_components,reconstructed,cause,resolved
A0A449C531,0.574831,0.574830,0.574831,intermediate_solubility_rounding,True
A0A0B5A4Q9,0.555314,0.555315,0.555314,intermediate_solubility_rounding,True
A0AAX4Q199,0.554484,0.554485,0.554484,intermediate_solubility_rounding,True
A0A449C528,0.550334,0.550333,0.550334,intermediate_solubility_rounding,True
A0AAE9JVZ5,0.548762,0.548763,0.548762,intermediate_solubility_rounding,True
A0AAX4Q2X2,0.547988,0.547987,0.547988,intermediate_solubility_rounding,True
A0A449C6D2,0.544182,0.544183,0.544182,intermediate_solubility_rounding,True
A0AAX4M7A4,0.540031,0.540032,0.540031,intermediate_solubility_rounding,True
A0A0H3NZ59,0.539163,0.539164,0.539163,intermediate_solubility_rounding,True
I7LH90,0.532644,0.532645,0.532644,intermediate_solubility_rounding,True
A1JK73,0.508606,0.508607,0.508606,intermediate_solubility_rounding,True
A0A449C473,0.505216,0.505217,0.505216,intermediate_solubility_rounding,True
A0A7U4GE85,0.505059,0.505060,0.505059,intermediate_solubility_rounding,True
A0AAE9JYN2,0.503852,0.503853,0.503852,intermediate_solubility_rounding,True
A0ABP1YH51,0.500372,0.500371,0.500372,intermediate_solubility_rounding,True
A0A0H5H8V4,0.494883,0.494884,0.494883,intermediate_solubility_rounding,True
A0A9P1PVU6,0.489471,0.489472,0.489471,intermediate_solubility_rounding,True
A1JK75,0.480786,0.480787,0.480786,intermediate_solubility_rounding,True
A0A7U4K153,0.463029,0.463028,0.463029,intermediate_solubility_rounding,True
A0AA36LPU1,0.422967,0.422966,0.422967,intermediate_solubility_rounding,True
A0ABM9TGV0,0.403441,0.403442,0.403441,intermediate_solubility_rounding,True
A0AA44CPT5,0.403161,0.403160,0.403161,intermediate_solubility_rounding,True
A0A0E1NNL7,0.402858,0.402857,0.402858,intermediate_solubility_rounding,True
A0ABM6UUN8,0.401800,0.401801,0.401800,intermediate_solubility_rounding,True
A0AA44CIM3,0.399194,0.399195,0.399194,intermediate_solubility_rounding,True
Q66BC8,0.399146,0.399145,0.399146,intermediate_solubility_rounding,True
A0A0A8VIE2,0.396337,0.396338,0.396337,intermediate_solubility_rounding,True
A0AAV3BFB4,0.392409,0.392408,0.392409,intermediate_solubility_rounding,True
A0ABN4FAB0,0.389794,0.389795,0.389794,intermediate_solubility_rounding,True
A0A0T9Q3M1,0.388600,0.388599,0.388600,intermediate_solubility_rounding,True
A0ABX6F9M0,0.386244,0.386245,0.386244,intermediate_solubility_rounding,True
A0A380QJL7,0.380281,0.380280,0.380281,intermediate_solubility_rounding,True
A0AAX2I0V1,0.376418,0.376417,0.376418,intermediate_solubility_rounding,True
A0A0T9P2Y6,0.373322,0.373323,0.373322,intermediate_solubility_rounding,True
A0A380QEC0,0.361834,0.361835,0.361834,intermediate_solubility_rounding,True
A0A0T9TSE5,0.357715,0.357716,0.357715,intermediate_solubility_rounding,True
A0ABR4VWZ7,0.354887,0.354886,0.354887,intermediate_solubility_rounding,True
A0ABP1ZSE7,0.344444,0.344443,0.344444,intermediate_solubility_rounding,True
A0A0T9UMW7,0.338461,0.338462,0.338461,intermediate_solubility_rounding,True
