run_id,clean_candidate_id,accession,sequence_sha256,analysis_source,signature_database,signature_accession,signature_description,interpro_accession,interpro_description,start,end,evalue,evidence_status,function_axis_hint,function_axis_confidence,rbp_signal,lysin_signal,amp_signal,ambiguous_function_signal,notes
RUN_20260611_094850,V52_B1_04ac1b6e91280345743e,A0A449C5Q6,04ac1b6e91280345743e73baf98a13155d5aa5ffce3f68edca46fc3bf7579fe0,local_interproscan,Pfam,PF05268,Phage tail fibre adhesin Gp38,IPR007932,Receptor-recognising protein Gp38,47,260,9.5E-69,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_04ac1b6e91280345743e,A0A449C5Q6,04ac1b6e91280345743e73baf98a13155d5aa5ffce3f68edca46fc3bf7579fe0,local_interproscan,Pfam,PF21721,Phage tail fibre adhesin Gp38 N-terminal domain,IPR048291,"Phage tail fibre adhesin Gp38, N-terminal domain",1,42,3.6E-16,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_050f48d6bbb1c2af986a,A0A7U4GE98,050f48d6bbb1c2af986a6d09cd5207f83b8c12dd65fd07606b21eef83a04f0c2,local_interproscan,Pfam,PF02413,"Caudovirales tail fibre assembly protein, lambda gpK",IPR003458,"Bacteriophage T4, Gp38, tail fibre assembly",78,157,1.0E-13,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0b0a5d194507b490da99,A0AAE9FUR5,0b0a5d194507b490da99957bc67691e4831ffc6f90bf0a31ab40a0970f3b21a5,local_interproscan,PANTHER,PTHR35191,PROPHAGE SIDE TAIL FIBER PROTEIN HOMOLOG STFQ-RELATED,IPR051934,Bacteriophage Tail Fiber Structural Protein,2,432,2.2E-64,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0b0a5d194507b490da99,A0AAE9FUR5,0b0a5d194507b490da99957bc67691e4831ffc6f90bf0a31ab40a0970f3b21a5,local_interproscan,Pfam,PF12571,"Phage tail-collar fibre protein, N-terminal",IPR022225,"Phage tail fibre protein, N-terminal domain",1,150,1.1E-59,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0b0a5d194507b490da99,A0AAE9FUR5,0b0a5d194507b490da99957bc67691e4831ffc6f90bf0a31ab40a0970f3b21a5,local_interproscan,Gene3D,G3DSA:6.20.70.20,,,,319,350,2.3E-8,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0b0a5d194507b490da99,A0AAE9FUR5,0b0a5d194507b490da99957bc67691e4831ffc6f90bf0a31ab40a0970f3b21a5,local_interproscan,Pfam,PF03406,Phage tail fibre repeat,IPR005068,"Bacteriophage lambda, Tail fiber protein, repeat-2",184,220,2.8E-8,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0d19a5553db33839e3e9,I7K3G3,0d19a5553db33839e3e9d7f1ca2514c718c0e489dff7097164eecfa3420186d8,local_interproscan,Pfam,PF03906,"Phage T7 tail fibre protein, N-terminal",IPR005604,"Bacteriophage T7 tail fibre protein-like, N-terminal domain",23,132,0.034,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0d19a5553db33839e3e9,I7K3G3,0d19a5553db33839e3e9d7f1ca2514c718c0e489dff7097164eecfa3420186d8,local_interproscan,SUPERFAMILY,SSF88874,Receptor-binding domain of short tail fibre protein gp12,,,342,528,4.71E-8,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0d19a5553db33839e3e9,I7K3G3,0d19a5553db33839e3e9d7f1ca2514c718c0e489dff7097164eecfa3420186d8,local_interproscan,Coils,Coil,Coil,,,538,558,,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_0d19a5553db33839e3e9,I7K3G3,0d19a5553db33839e3e9d7f1ca2514c718c0e489dff7097164eecfa3420186d8,local_interproscan,Coils,Coil,Coil,,,172,192,,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,SUPERFAMILY,SSF69279,Phage tail proteins,,,201,376,2.38E-90,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Gene3D,G3DSA:3.55.50.20,,IPR043085,"Gp27, baseplate hub, domain 2",117,204,2.2E-43,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,SUPERFAMILY,SSF69279,Phage tail proteins,,,4,200,2.55E-95,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Gene3D,G3DSA:2.40.10.10,,IPR043504,"Peptidase S1, PA clan, chymotrypsin-like fold",1,116,2.2E-61,hit,unknown,none,false,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Pfam,PF09097,"Baseplate structural protein, domain 1",IPR015181,"Bacteriophage T4, Gp27, baseplate hub, N-terminal",5,200,8.5E-137,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Gene3D,G3DSA:3.30.1920.40,,IPR043084,"Gp27, baseplate hub, domain 4",249,377,9.8E-84,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Pfam,PF09096,"Baseplate structural protein, domain 2",IPR015180,"Bacteriophage T4, Gp27, baseplate hub, C-terminal",203,375,1.3E-119,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
RUN_20260611_094850,V52_B1_1b77bafe97676059c794,S5M9F2,1b77bafe97676059c7945334f5b2df29004279673d1af9686ce84ae0000d71f3,local_interproscan,Gene3D,G3DSA:2.40.30.150,"Bacteriophage T4, Gp27, baseplate hub, domain 3",IPR043083,"Gp27, baseplate hub, domain 3",218,364,9.8E-84,hit,RBP_like,high,true,false,false,false,Parsed from local InterProScan TSV.
