accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.862332673684
A0A7U4GHF9,2,2,0.598412926316
I7K2S1,3,3,0.589559284211
A0A1V0DXW2,4,4,0.587764336842
B3VCL5,8,5,0.583504168421
Q858J8,9,6,0.583116631579
A0A0G2PMU5,7,7,0.582563073684
A0AAD2UYA7,5,8,0.582446105263
S5MLA1,6,9,0.581812378947
A0A0P0LE96,12,10,0.580678400000
A0AAE7V5N4,10,11,0.580137726316
A0A6M3G9R6,11,12,0.578351915789
S5M3B5,15,13,0.577381600000
A0A0H3NKM1,13,14,0.576795663158
A0A0U2DXE3,14,15,0.576757642105
A0AAE9FSZ1,17,16,0.573505347368
A0AAT9S6U3,19,17,0.572980463158
A0A7U4GE98,16,18,0.572975326316
A0AAE9FUR5,18,19,0.570605684211
A0A449C531,21,20,0.566620294737
A0AAX4Q2K6,20,21,0.565649810526
A0AAE7S353,22,22,0.563615494737
I7K3G3,29,23,0.559223494737
Q858U5,24,24,0.556744042105
I6Q9A1,31,25,0.556089473684
I7LHK5,26,26,0.555803326316
A0A9P1PWH0,23,27,0.555655452632
A0A0H3NZ47,27,28,0.555645052632
S5ML14,37,29,0.555505389474
A0A7U4JZS3,25,30,0.555369178947
A0A7D3UKK9,32,31,0.554337936842
I7K324,42,32,0.554157515789
A0A449C5Q6,30,33,0.553450315789
A0A449C3Z7,28,34,0.553366652632
A0A1V0DXT2,41,35,0.552768505263
F4N2J8,34,36,0.551971115789
F4N729,36,37,0.551293178947
A0A449C440,33,38,0.551244631579
A0A449C555,39,39,0.550633178947
A0A449C5Z2,35,40,0.550537136842
A0A0B4ZXE3,47,41,0.550444252632
A0AAE9FQ76,40,42,0.549941557895
A0A088F649,44,43,0.549010315789
A0A0H3NZ57,48,44,0.548953178947
I7LHJ5,38,45,0.548520757895
A0A0G2PMY8,43,46,0.547361052632
S5M9F2,45,47,0.545593010526
S5MRA5,49,48,0.543703157895
A0AAE7CTI2,46,49,0.543318989474
A0A0B5A4Q9,50,50,0.542165178947
