accession,frozen_rank,rank,score
A1JNF1,135,1,0.855007000000
A0A9P1PWH0,23,2,0.854728000000
I7LHJ5,38,3,0.851342000000
A0ABP2DZT0,424,4,0.847423000000
F4N708,177,5,0.845807000000
A0ABM9TDA6,367,6,0.843640000000
A0A0T9MH64,353,7,0.843230000000
A0AAI8ZVG7,403,8,0.843066000000
A0A6M3GA37,54,9,0.842832000000
I7K2S1,3,10,0.842560000000
A0A7U4GDH6,165,11,0.842551000000
A0AB72ZDV0,382,12,0.841162000000
A0AAX4Q2K6,20,13,0.840454000000
A0A0T9PYB4,390,14,0.839961000000
Q66BM0,344,15,0.839728000000
A0AB72ZSW9,598,16,0.839677000000
A0A0H3B4K0,360,17,0.838484000000
A0A7U4K299,250,18,0.838292000000
A0A1V0DXT5,78,19,0.837104000000
A0A9P1PUI1,251,20,0.836169000000
A0A0H5HBD5,237,21,0.835839000000
A0ABM9S1Y8,252,22,0.835671000000
A0AB73QMA1,316,23,0.834785000000
A0ABM9Y805,338,24,0.834510000000
A0A7U4GDF9,187,25,0.834484000000
A0AA36PIC1,406,26,0.834299000000
A0ABY5UV58,452,27,0.833900000000
A0A7T9XU25,111,28,0.833019000000
A0A0T9KYN8,482,29,0.832843000000
A0A0T9KM81,337,30,0.832361000000
A0A9P1PVU6,256,31,0.831322000000
A0ABP1ZGZ5,453,32,0.831084000000
A0A449C440,33,33,0.831068000000
A0A0T9UVK0,336,34,0.831059000000
A0AAE7CTI2,46,35,0.830999000000
A0AAD2UYA7,5,36,0.830516000000
A0AAI8ZTY6,535,37,0.830093000000
A0A449C5Z2,35,38,0.829929000000
A0A0H5H8V4,248,39,0.829822000000
A0A208ZSG0,376,40,0.829298000000
A0ABM9STX9,436,41,0.829292000000
A0ABX6FH78,421,42,0.828745000000
A0A449C3Z7,28,43,0.828679000000
A0ABM9YBE2,450,44,0.828057000000
A0ABM5SR09,440,45,0.827550000000
A0ABM9SIE6,219,46,0.827483000000
A0A0A8VDN9,402,47,0.827296000000
S5MLA1,6,48,0.827246000000
A0ABY5UJQ0,592,49,0.827116000000
A0A857F0P1,314,50,0.826841000000
I7KR83,59,51,0.826625000000
A0A0H5LRI9,318,52,0.826553000000
A0A449C619,132,53,0.825814000000
A0AB73PEI7,459,54,0.825437000000
A0A380PNY7,364,55,0.824429000000
A0A208ZGJ0,499,56,0.823799000000
A0A3B8DLJ2,72,57,0.823666000000
A0A0H5H5S4,264,58,0.823613000000
A0A7U4GE98,16,59,0.823307000000
A0A1V0DXD5,71,60,0.823070000000
A0A3B8DLH1,51,61,0.822773000000
A0A3B8DL31,85,62,0.822756000000
A0A0U1QVC6,393,63,0.822736000000
A0ABM9TGV0,430,64,0.822714000000
A0AAE9FLD0,108,65,0.822636000000
A0A0G2PMU8,56,66,0.822576000000
A0A0A8VIE2,477,67,0.822106000000
A0A0T9QDA1,502,68,0.822106000000
S5ML17,154,69,0.821744000000
A0A380Q4G1,527,70,0.821398000000
A0A380Q814,470,71,0.821392000000
A0AAX2I0L3,405,72,0.821144000000
A0A449C3S4,83,73,0.820868000000
A0AAW7JU40,484,74,0.820767000000
A0AAD2Z2V4,253,75,0.820647000000
A0AB73NKK6,521,76,0.820573000000
A0AA86IWK5,86,77,0.820465000000
A0A0H3B6E0,462,78,0.820431000000
A0ABM7AH44,357,79,0.820374000000
A0AB73QFS4,426,80,0.819893000000
A0A0T9KLV1,432,81,0.819859000000
A0ABN4PV81,473,82,0.819839000000
A0A0B5A4J3,88,83,0.819649000000
A0ABM9TMK5,486,84,0.819565000000
A0AA36LSX5,570,85,0.819221000000
A0AB73Q656,396,86,0.819048000000
A0A1V0DXW2,4,87,0.818870000000
A0ABM5U8M7,418,88,0.818856000000
A0A6M3G9R6,11,89,0.818748000000
A0A0U1QWC7,435,90,0.818625000000
A0A449C435,61,91,0.818618000000
A0A449C528,69,92,0.818313000000
A0AAD2Z5G5,268,93,0.817870000000
A0ABY5UJR0,530,94,0.817764000000
A0AB73Q5K2,384,95,0.817482000000
A0AAE7V5N4,10,96,0.817307000000
A0ABM9SZ95,457,97,0.816965000000
A0AAW7K6S3,491,98,0.816900000000
A0A7U4JZS3,25,99,0.816894000000
A0AB73QHN9,412,100,0.816701000000
A0A085U7Z9,428,101,0.816275000000
A0A0H3B5G2,588,102,0.816198000000
A0A0T9QCI9,326,103,0.816121000000
A0A0T9KKH2,620,104,0.815857000000
Q66BF1,520,105,0.815603000000
A0AA44HZF8,683,106,0.815102000000
A0A0H2W1J5,446,107,0.814903000000
A0A6M3G916,93,108,0.814899000000
Q66BC4,529,109,0.814641000000
A0A0E1NX19,471,110,0.814449000000
A0ABX5R0V5,409,111,0.813875000000
A0A0H2YKF3,454,112,0.813763000000
A0AB73Q1P8,507,113,0.813619000000
F4N725,259,114,0.813511000000
A0ABX6F3U1,551,115,0.813407000000
A0A0T9QE48,509,116,0.812683000000
I7J3W0,87,117,0.812677000000
F4N729,36,118,0.812544000000
A0ABM6UP56,501,119,0.812530000000
A0ABR4VWS1,383,120,0.812464000000
A0AA86IYU9,157,121,0.812365000000
A0AB73NNV4,659,122,0.812161000000
I7K354,95,123,0.812155000000
A0A380PNP9,387,124,0.812045000000
A0AB73PBS8,638,125,0.811961000000
A0AAE9FSZ1,17,126,0.811791000000
A0A1V0DXS1,115,127,0.811746000000
A0AAI8ZUU9,345,128,0.811695000000
A0AB73P877,610,129,0.811394000000
S5M3A7,94,130,0.811376000000
A0AB73PZQ4,447,131,0.811178000000
A0ABN4CUZ1,555,132,0.811035000000
A0ABP1Y756,648,133,0.810970000000
A0A0T9KYN4,494,134,0.810624000000
A0AA44CQ33,615,135,0.810549000000
A0AA44CKU4,517,136,0.810541000000
A0A449C541,196,137,0.810302000000
A0A0H3B5E1,325,138,0.810272000000
A0A0T9QY81,547,139,0.810243000000
A0A0T9KME1,653,140,0.810184000000
A0ABM9Y807,330,141,0.810021000000
A0A7D3QQ81,106,142,0.809864000000
A0ABP1Z8F7,411,143,0.809837000000
A0A9P1PW91,291,144,0.809639000000
A0A0T9QEA5,442,145,0.809552000000
A0AA44CIX0,443,146,0.809027000000
A0A0T9LR98,531,147,0.809013000000
A0AAX4M7A4,101,148,0.808967000000
A0A1V0DXX1,109,149,0.808838000000
A0A0B4ZZK4,198,150,0.808718000000
I7LH90,133,151,0.808506000000
A0AA36PL17,573,152,0.808502000000
