accession,frozen_rank,rank,score
Q9T0Z9,1,1,0.931236550000
F4N729,36,2,0.592467400000
A0AAD2UYA7,5,3,0.585888750000
A0A7U4GHF9,2,4,0.584013725000
A0A7U4JZS3,25,5,0.583868275000
A0A0G2PMU5,7,6,0.568504337500
A0A7U4GE98,16,7,0.567338887500
A0A0H3NKM1,13,8,0.565130225000
A0A0H3NZ47,27,9,0.564521687500
F4N2J8,34,10,0.564222262500
I7LHJ5,38,11,0.560379275000
A0AAX4Q2K6,20,12,0.560205025000
A0A0H3NZ57,48,13,0.559593775000
A0A449C440,33,14,0.557540750000
A0A1V0DXW2,4,15,0.557297525000
A0A449C555,39,16,0.556755087500
A0A449C5Z2,35,17,0.556167412500
A0AAE9FUR5,18,18,0.555952625000
Q858J8,9,19,0.555193062500
A0A6M3G9R6,11,20,0.555030900000
I7LHK5,26,21,0.554934075000
S5M9F2,45,22,0.554215325000
A0A0U2DXE3,14,23,0.554191637500
A0AAT9S6U3,19,24,0.554016612500
A0AAE9FQ76,40,25,0.553913287500
A0AAE7S353,22,26,0.553644150000
I6Q9A1,31,27,0.553101937500
I7K2S1,3,28,0.552634150000
A0A0P0LE96,12,29,0.552485225000
A0A088F649,44,30,0.552196500000
B3VCL5,8,31,0.551094137500
A0A0B5A4Q9,50,32,0.550545087500
A0A0G2PMY8,43,33,0.549734312500
A0AAE9FSZ1,17,34,0.548496037500
A0A449C3Z7,28,35,0.547500587500
A0AAE7V5N4,10,36,0.546127737500
Q858U5,24,37,0.545263925000
S5M3B5,15,38,0.544898150000
A0AAE7CTI2,46,39,0.544660737500
I7K3G3,29,40,0.544143962500
A0A7D3UKK9,32,41,0.544123612500
A0A449C5Q6,30,42,0.544010312500
S5MLA1,6,43,0.542415575000
S5MRA5,49,44,0.541445437500
S5ML14,37,45,0.541023087500
A0A449C531,21,46,0.540989162500
A0A1V0DXT2,41,47,0.534647975000
I7K324,42,48,0.533048550000
A0A0B4ZXE3,47,49,0.532864800000
A0A9P1PWH0,23,50,0.485648600000
